"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.015587542449","2.03528511661547","3.03618206770416","0.999190797819198","0.0315840220107113","0.0347095904515828","0.0254509328224967"
"naive","-0.268450008570033","1.24040639998553","1.60295016292629","2.95621960043025","0.0840621623216378","0.100489566065709","0.0711667057027158"
"cc","1.03380090987745","2.04400911994566","3.03442100840392","1.00250996859793","0.0463143708087945","0.0512481827146347","0.0373990623406055"
"ipw","1.02995734284153","2.03449642202656","3.0332205695238","1.00256010303363","0.0477487210529271","0.0524843241999306","0.0371718944682848"
"ipw-w","1.08561166692672","2.04006746891623","3.04697127650978","1.00413052036719","0.0536121699736534","0.0624058976118468","0.0411169536432886"
"ipw-yz","0.963591149590026","2.03790859951469","3.03430956528901","1.00498563764467","0.0478649357754609","0.0524102894632473","0.0369069370859839"
"acc","1.03560619161268","2.05833050066541","3.02813711649866","1.00271308920519","0.0441166454272467","0.0489183663204185","0.0351754979468298"
"acc-eta1","1.03894303186448","2.08611751667173","3.02546571530969","1.0037635042788","0.0463906878502921","0.0505083962567918","0.0376682539755732"
"acc-w","0.942815218314417","2.04524354910693","3.04243055409203","1.00659236988021","0.0495098787816329","0.056108327510652","0.0407657384058218"
"acc-eta1-w","0.848010966515318","2.06954515561138","3.07110562954619","1.0197856179594","0.0604763011502099","0.0684596444352207","0.049044211775121"
"acc-lambda","1.04068979852066","2.05907900053244","3.02915311792493","1.00272512310241","0.0441994844930853","0.0489011101844874","0.0350970874348164"
"acc-lambda-w","0.980460413313961","2.05208777355651","3.02711547391526","1.00410389982595","0.0447475928736615","0.0489962048713867","0.0358316906648367"
"macc","1.04384122763846","2.05868981191664","3.03079771231836","1.00271486694825","0.0443419533478135","0.0489084564225383","0.0349309654035811"
"macc-eta1","1.03728298522885","2.08858498012201","3.02556258137277","1.00388026710809","0.0471076633403751","0.0509330187549295","0.0377552179353101"
"macc-w","0.898871849671104","2.04633009086952","3.03412422189416","1.01155801846314","0.0505436977678065","0.0576776185080344","0.0414281634907076"
"macc-eta1-w","0.848010966515318","2.06954515561138","3.07110562954619","1.0197856179594","0.0604763011502099","0.0684596444352207","0.049044211775121"
"macc-lambda","1.03228687149028","2.06250977588916","3.03385857636111","1.00269846602654","0.044613369055459","0.0491151049407998","0.0351204621916979"
"macc-lambda-w","0.992951516101597","2.05154951480867","3.03988799139336","1.00334675634262","0.0458701639601749","0.050379033973364","0.0372935859029717"
"aipw","1.04854423880272","2.06935741551898","3.02874060677472","1.00306671094995","0.0468022993354237","0.0507853787252525","0.0346517787326562"
"aipw-eta1","1.031140014031","2.07316759257549","3.02436136309327","1.00324686760259","0.0471969612937006","0.0513367327069545","0.0348737652778391"
"aipw-w","0.880619486041144","2.06788768582619","3.09507238287961","1.01598010371352","0.0582551971577837","0.0635913614428356","0.0464623620971457"
"aipw-eta1-w","0.943206000574002","2.06001528722809","3.09436227599454","1.00900316305823","0.0579661558322739","0.0635262518116643","0.0476442854504749"
"aipw-lambda","1.02832971858138","2.05268593924978","3.03056249131012","1.002602911039","0.0460800706882795","0.0502614435385772","0.0343040320340424"
"aipw-lambda-w","1.02618000150751","2.05786911712692","3.04331808781453","1.00263475311602","0.0523105634783582","0.058463982391183","0.0411465602233921"
"mle","1.06196865012264","2.02691598912439","3.01362115571149","1.01427818652993","0.0415930388857706","0.0456773144143631","0.0331211980162404"
"mle-w","0.103416409089085","1.6112506313812","2.59216778023357","1.91594983891767","0.0764721342355768","0.0828833290306873","0.0736939199817728"
