"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.954023064799054","2.05959626843675","2.99045853451604","0.983629562003329","0.0311762383957188","0.0330684038047612","0.0237807921205865"
"naive","-0.465844822603725","1.42343129008467","1.71321250387901","3.00255715470889","0.0833460762047726","0.0988376619921383","0.0712697968926564"
"cc","0.898741405706078","2.00962904133787","2.97050382904785","0.980950182655086","0.0437213892098796","0.0460275983184891","0.0340781799821597"
"ipw","0.899538397721098","2.02029720956259","2.97925297274954","0.981047477627539","0.0441301791208545","0.0458448938425463","0.0351564204384517"
"ipw-w","0.868381418333993","2.03320119442317","2.99572240425206","0.981999358159524","0.0580712099221463","0.0622409674923356","0.0463779130309443"
"ipw-yz","0.837225530826417","2.01803805853566","2.97939583712135","0.982888301119668","0.0440353985068858","0.0457318009600172","0.0347859046588177"
"acc","0.913179861753269","1.99915501788141","2.96051088373407","0.981149773748161","0.0421533298777363","0.044469459237127","0.032465654741914"
"acc-eta1","0.930428364927137","1.98609004876952","2.95328281581585","0.981788107126619","0.0447367810471083","0.0471934332551762","0.034078047155391"
"acc-w","0.84634557413713","1.95547714187849","2.93647194219767","0.984491832481866","0.046765641105906","0.0525642329667966","0.0397001852184108"
"acc-eta1-w","0.794169782269139","1.92066062433544","2.91993180407032","0.991983190761343","0.0616367960191731","0.0748067076100475","0.0573736002393467"
"acc-lambda","0.913744123196051","1.99468995453471","2.95705967792387","0.981248853373751","0.0421965216972176","0.0443943638779856","0.0324361027089798"
"acc-lambda-w","0.857786672512496","1.99635708598507","2.96671121803081","0.981921104004865","0.0425492403942025","0.044081877487758","0.0325465692387251"
"macc","0.912581813009165","1.99786184954904","2.96345909170453","0.98111662530765","0.0421996755753161","0.0442388031649701","0.0325159484363765"
"macc-eta1","0.931241159238021","1.98857141154851","2.95562971939924","0.981729675197741","0.0452163047580022","0.0475694896489568","0.0342893292120193"
"macc-w","0.787474359494928","1.94090585204824","2.92847482821944","0.99089656826249","0.0478657883973891","0.0554291169720039","0.041373252826482"
"macc-eta1-w","0.794169782269139","1.92066062433544","2.91993180407032","0.991983190761343","0.0616367960191731","0.0748067076100475","0.0573736002393467"
"macc-lambda","0.911995692778308","2.00091481385441","2.96381597575951","0.981085667128662","0.0424485453359799","0.0447501908507291","0.0325211430703869"
"macc-lambda-w","0.875607834609383","1.98854624023635","2.96053195018862","0.981497385002602","0.0433018787732464","0.0446311685225764","0.0336386404774605"
"aipw","0.922469504078702","2.00020716858394","2.97366313034302","0.981305712600789","0.0435810628791784","0.0447750437479552","0.0334631371696129"
"aipw-eta1","0.925536876823864","2.00404611368456","2.97001982521595","0.981324112466305","0.0442477716309888","0.045834716029206","0.0337929079457962"
"aipw-w","0.677915522157511","1.97170650344837","2.99216217936816","1.00687992165642","0.0621531742003709","0.0636903255974129","0.0495160750929831"
"aipw-eta1-w","0.776553100362234","1.98232770052068","2.98746436076355","0.989328271553265","0.0615658121684715","0.0635752038396701","0.0497721634287399"
"aipw-lambda","0.913082261603037","2.01069178995202","2.97157450582164","0.981058378970263","0.0428355019834138","0.0443676774678134","0.0333899040827897"
"aipw-lambda-w","0.818182233981102","2.00257318195766","2.98824278504779","0.984543679323698","0.0563479252966113","0.0566833770106345","0.0441231966760926"
"mle","0.916881489614733","2.02184693832548","2.96384331094678","0.989341579130097","0.0395101594620252","0.0418454783446698","0.0301825400569113"
"mle-w","0.0303878600778652","1.74481423671611","2.66650541575935","1.8430939090571","0.0862575032217369","0.0817269569042604","0.0732174607560256"
