"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.964925935297327","1.99712842898648","3.03115711971179","0.992982100619156","0.0315069332869164","0.0343579769529605","0.0247344356732498"
"naive","-0.379814787816263","1.27072788933596","1.77623238085664","2.96348683301006","0.0821441746393764","0.103690997751701","0.0734979279831428"
"cc","0.932550344116759","2.01637347114974","3.03722070600512","1.03996724284316","0.045642487058716","0.0509012694703717","0.0334073425820128"
"ipw","0.914511481881999","2.0045466464595","3.04383617050486","1.04025325266908","0.0461228125262072","0.0504429128325144","0.0333411348602393"
"ipw-w","0.91098467992161","2.03860978969066","3.05622022975962","1.04053133875077","0.051564721404281","0.0598576384234325","0.0420683155195199"
"ipw-yz","0.847233484873724","1.99525303933424","3.04257293126139","1.04364068841725","0.0464608568500767","0.0506190000116119","0.0335525848812682"
"acc","0.951250603716619","2.01386687582083","3.02914430193231","1.04017277994389","0.0433645582043517","0.0484945680723828","0.0317367951534566"
"acc-eta1","0.988869713640035","2.01850260579729","3.00896284825005","1.04209644408716","0.0474052966791003","0.0498343144712333","0.036069597882871"
"acc-w","0.889880167795473","1.99881853535379","3.02214969630066","1.04116749044419","0.0472273555280487","0.051135480428971","0.0335893212091894"
"acc-eta1-w","0.853825747999563","1.9928239122748","3.01577462827241","1.0436335389744","0.0606598835723752","0.0613415090005621","0.044934219004275"
"acc-lambda","0.950880222806992","2.01428799497056","3.02738445516435","1.04019291395006","0.0433956043641955","0.0483239513721821","0.0319267207938745"
"acc-lambda-w","0.880936533455133","1.9971430306708","3.0199065157265","1.04167397743285","0.0437439930597749","0.0481708459727201","0.0316553627018155"
"macc","0.9428809120398","2.01118533937117","3.02912805971719","1.04006569428761","0.0434438610175679","0.04839988383436","0.0317547094895605"
"macc-eta1","0.982361640861783","2.01443944400704","3.00911672914474","1.04173190174981","0.0476003745909972","0.0499759085427364","0.0356115141630934"
"macc-w","0.834913536184006","1.98767895687332","3.00606893843643","1.0458686477655","0.0479405001389885","0.0513055179322318","0.0310930238343194"
"macc-eta1-w","0.853825747999563","1.9928239122748","3.01577462827241","1.0436335389744","0.0606598835723752","0.0613415090005621","0.044934219004275"
"macc-lambda","0.952613982221388","2.01748709163113","3.02866164035699","1.04021448296809","0.0437611221444726","0.0486865228442685","0.0319495915343094"
"macc-lambda-w","0.910672002489454","2.00485118030075","3.02700898907275","1.04033585778366","0.0451496987465639","0.0501313118319749","0.032266243220939"
"aipw","0.94176222741305","2.00617161406829","3.03017061629012","1.040064645162","0.0444182807703067","0.0483652838388928","0.0314443572303822"
"aipw-eta1","0.953055223943776","2.00798737520429","3.02968993815342","1.04020956258822","0.0449206582822272","0.0487295754473361","0.0312300738303686"
"aipw-w","0.757839942196973","2.02773462603157","3.0556243394647","1.05439390355867","0.0562412641636727","0.0600876396652491","0.0384390250818786"
"aipw-eta1-w","0.845847623017135","2.03597456338708","3.06621094339882","1.04398300759098","0.0559865101406152","0.0590670340101544","0.0388555707064614"
"aipw-lambda","0.937612338053609","2.00869106079272","3.03447180372404","1.04000387991104","0.043810860943016","0.0481080083444288","0.0308467340334007"
"aipw-lambda-w","0.880876736662673","2.03025060825976","3.05629579231525","1.04144577653339","0.0501314155663493","0.0566330060827614","0.037867230331668"
"mle","0.953290077694919","1.98620851986134","3.03076907761157","1.03681793526771","0.0409621321336435","0.0452836644824937","0.0303348359797693"
"mle-w","0.15390582468856","1.68691891886485","2.82358471911006","1.70122712909904","0.080898291397486","0.078778912884112","0.0666145657514989"
