"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.983569188254358","2.08686202912452","3.0993929376998","1.00428377866371","0.0992477429215058","0.110055633608833","0.0682752539570812"
"naive","-0.716134943762054","2.01646859570873","2.2807824679655","2.75991825568293","0.240248356704722","0.272646490007249","0.186602075704213"
"cc","0.885914944775664","2.27836253318439","3.10359430389342","0.99383393417881","0.136094046579356","0.161016541408498","0.0945389328269916"
"ipw","0.909845804936031","2.2448644170056","3.09887499808685","0.994370228963921","0.142551661964496","0.170735626491801","0.0990429862077279"
"ipw-w","0.917547182036328","2.33146070509304","3.16922036136059","0.998573813539149","0.135550947077853","0.177171842361441","0.083725468579608"
"ipw-yz","0.844402119870328","2.22817092047642","3.10090964304099","0.996042877478357","0.138773225916327","0.162237039840427","0.0953115282616882"
"acc","0.881432159242702","2.32763619101733","3.11401011999921","0.994631420718389","0.134992836494467","0.144395372184995","0.0900573364364506"
"acc-eta1","0.906739226699139","2.35491180272542","3.13877401827769","0.99660427636617","0.146512000307111","0.154687496972434","0.0919032913592854"
"acc-w","0.794480183802523","2.39515817904621","3.09745734496587","1.00190615682662","0.156418807172908","0.162221796774437","0.108141465630918"
"acc-eta1-w","0.731338472751641","2.48312499957072","3.10507907075397","1.01643370856243","0.198954319002607","0.188248774612686","0.149316631704681"
"acc-lambda","0.900142570953583","2.32711683485714","3.11634816574447","0.994864468290219","0.133352766093362","0.144521647352013","0.0895360234735869"
"acc-lambda-w","0.863391505492663","2.27039264570975","3.10591349845765","0.994167728183533","0.13569699318535","0.153091456700152","0.0930515234342121"
"macc","0.891646797595866","2.30452833872232","3.11615320029833","0.994149981935285","0.134549600878785","0.147311859641714","0.0889150448074259"
"macc-eta1","0.90969448329687","2.3470518474252","3.14268956059183","0.996531969843064","0.147301447988648","0.156808316836323","0.0905124166397535"
"macc-w","0.738853598643003","2.36264170798723","3.07523031538288","1.00710491762394","0.157245620530755","0.1632446681652","0.11019681111016"
"macc-eta1-w","0.731338472751641","2.48312499957072","3.10507907075397","1.01643370856243","0.198954319002607","0.188248774612686","0.149316631704681"
"macc-lambda","0.891591693747604","2.32689457691807","3.12294715430763","0.99475895912291","0.133544311474283","0.146796932235326","0.0889071180860062"
"macc-lambda-w","0.879487103231723","2.3243636363981","3.11599456142099","0.994522972074975","0.135953288190547","0.157908532207342","0.0941581944336769"
"aipw","0.949804482198339","2.27242608013714","3.14146125776241","0.997402534852317","0.146922723874036","0.157031352456144","0.0947456007451239"
"aipw-eta1","0.936482252457616","2.31096099679316","3.14435917691581","0.996872158633923","0.150176481426592","0.155271663606924","0.0939750217726069"
"aipw-w","0.735310562735096","2.46288601859947","3.19830845669319","1.01487641838078","0.178406956991624","0.197459437638422","0.104221863045092"
"aipw-eta1-w","0.806833545128206","2.51362205078447","3.21576181720662","1.01585787076691","0.180195240911524","0.196667345545524","0.106190828093018"
"aipw-lambda","0.909818743369513","2.303705875891","3.12059468869669","0.994561910844582","0.138811702500908","0.151292546118132","0.093131602422028"
"aipw-lambda-w","0.89357929200168","2.3624094032234","3.19053028660723","1.00123404992061","0.125277401916794","0.175192171705449","0.0803688370051156"
"mle","0.907478691328315","2.24599266315196","3.12664341470402","0.962303040699489","0.121352311781215","0.133842228496844","0.0807767936167738"
"mle-w","0.190754641262566","2.07133187551466","3.02761488876138","1.45377657109697","0.246288256663003","0.202983610072835","0.128928341045964"
