"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.03127920150745","2.11820005236596","3.00393417608125","0.872525269443115","0.0921244278762215","0.113004401898209","0.0618257349024462"
"naive","-0.199887857337098","1.72591706965821","2.18124750528463","2.78284708119998","0.248995017539768","0.242843370354973","0.153255320669032"
"cc","1.06348602957142","2.16974585255257","2.91910694625898","0.854009611170337","0.119457068321317","0.152361556617586","0.0849573957950149"
"ipw","1.06568989643072","2.21689526634211","2.95084955166976","0.855498078188412","0.118880537939098","0.156656116875335","0.0920260018523684"
"ipw-w","1.03932976036892","2.03215048085241","2.94291171857165","0.866450482100304","0.10869210959469","0.115958311575605","0.0725566573392204"
"ipw-yz","1.01981108622869","2.21904990351571","2.94813737716809","0.856105222936158","0.121235476988565","0.157017722805137","0.0929593517521677"
"acc","1.05706502384323","2.16787272169644","2.94763698477541","0.855003412338523","0.116629818826513","0.137057262381537","0.0715019771028414"
"acc-eta1","1.04818038215354","2.12665256360756","2.95518205044801","0.85746023563746","0.122066101065455","0.140219799745121","0.0724248033827991"
"acc-w","1.01900556816932","2.24050393225016","2.95843098381821","0.857324505082093","0.12861176428586","0.154975799879434","0.08386339108099"
"acc-eta1-w","0.931348173867873","2.28013768930584","3.00870153960869","0.870667811492057","0.153730599247237","0.174106091845656","0.100744269616666"
"acc-lambda","1.04286124774312","2.21529847373396","2.94866472273093","0.855377339213778","0.115690436931894","0.132061146237956","0.0653877772058695"
"acc-lambda-w","1.03784206756182","2.21524183531022","2.94721010219719","0.855407917077209","0.118924770377447","0.142549430173849","0.075902866477461"
"macc","1.05352421734841","2.17531116102808","2.95628037736192","0.855540557134766","0.116475787230612","0.137180369569436","0.0724009985526306"
"macc-eta1","1.05230146588858","2.13512977030126","2.96053946706338","0.857483072323519","0.12147191859238","0.137731846643346","0.0716292953751549"
"macc-w","0.966579513997214","2.22767049373249","2.96530145610061","0.860867627865528","0.131827952876178","0.156704137133238","0.0855377672452074"
"macc-eta1-w","0.931348173867873","2.28013768930584","3.00870153960869","0.870667811492057","0.153730599247237","0.174106091845656","0.100744269616666"
"macc-lambda","1.06140129769076","2.17917177141327","2.92551756775409","0.854067119959266","0.113212437286463","0.130641590790629","0.0654665084074972"
"macc-lambda-w","1.04979900857416","2.24256018239078","2.95496782213714","0.856637946211771","0.120028792000709","0.147006755121164","0.0793420604570498"
"aipw","1.05283317445446","2.1924890741484","2.99574626389578","0.860156213557932","0.116481771127147","0.128781379274795","0.0723500993161528"
"aipw-eta1","1.06209289952598","2.18325056412046","2.98547837250577","0.858809026121496","0.117031847577038","0.127613819835459","0.0708489729529008"
"aipw-w","0.873448639491984","2.10887126585063","3.0164943083294","0.888831452148403","0.120768980693405","0.125936066057637","0.065752040748413"
"aipw-eta1-w","0.941337016272197","2.11752811910721","3.00678642778842","0.874354197440227","0.11857519183386","0.123870370173927","0.0681007357356142"
"aipw-lambda","1.05939794976345","2.233435040666","2.95874470134392","0.856433502963724","0.110042743413357","0.120128283974954","0.0634042212415245"
"aipw-lambda-w","1.02144007666115","2.12586871613208","2.96785868267493","0.859843396152487","0.102813084970692","0.109017505384522","0.0632126306210079"
"mle","1.05878091880624","2.13390119831711","2.97851643433128","0.844920464502934","0.108589075252663","0.13042445379526","0.0754863451302308"
"mle-w","0.521209197995262","1.91145439293405","2.92170146455567","1.23504534026577","0.203684641306411","0.164987603646094","0.108283200219431"
