"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.790644179610926","2.01624975245464","3.03670044265569","0.957708127715535","0.0975460634422435","0.0958506985573368","0.0694348705616575"
"naive","-0.758970404741741","1.32447414648303","2.18148351305874","2.65039867347451","0.253473993483075","0.227644621299013","0.166387348613802"
"cc","0.868003816473939","2.1143494423623","3.1037122445616","0.981794958376777","0.145169322088392","0.14222128183606","0.10968372351538"
"ipw","0.897362183076149","2.08543776957433","3.07500606238199","0.982604622454659","0.150978263164008","0.142247467818621","0.104967293848001"
"ipw-w","0.997672462194242","2.03518257026663","3.04392942278271","0.991851479929306","0.182722067491856","0.170391294661397","0.117378672184622"
"ipw-yz","0.82867065949417","2.12387266210883","3.08766784767666","0.983183005926604","0.146271363960049","0.136380500280436","0.103323027244568"
"acc","0.889530196153896","2.14633852425707","3.14004239353752","0.982928655408616","0.143352805503706","0.138484825561649","0.10016938983847"
"acc-eta1","0.897904087323408","2.18818840670804","3.16309533899735","0.984874689728945","0.15359442288041","0.151507245380678","0.112923395266703"
"acc-w","0.860496521012063","2.17265778077297","3.17762357664901","0.984949020685069","0.149744572660636","0.141268574263107","0.107049082087382"
"acc-eta1-w","0.828639166052811","2.2456985800161","3.22415051432195","0.990876075271041","0.170187286121509","0.163362191895801","0.136994004862499"
"acc-lambda","0.888318389542471","2.1212960705514","3.1269012959892","0.982499455037955","0.142414879830614","0.139134950907354","0.102771381780891"
"acc-lambda-w","0.842076604619477","2.14373028397117","3.12526914128583","0.98240830442719","0.142805261383954","0.138244759580747","0.10332691589377"
"macc","0.904083332695522","2.14665192513129","3.12285391541987","0.982896220961042","0.14360210909122","0.141126883663247","0.101383462480104"
"macc-eta1","0.898569046154151","2.19361379396892","3.15813182436412","0.984837569377196","0.155652671698297","0.148076265013085","0.115325362463972"
"macc-w","0.844878084714155","2.17668353507915","3.16497749768563","0.984123164309802","0.147339537461804","0.147220873248171","0.107735557813515"
"macc-eta1-w","0.828639166052811","2.2456985800161","3.22415051432195","0.990876075271041","0.170187286121509","0.163362191895801","0.136994004862499"
"macc-lambda","0.867972110172263","2.13035814796125","3.12946199554364","0.982202958273699","0.141259733598619","0.137018577757551","0.102807573832421"
"macc-lambda-w","0.831458010757623","2.14650718404033","3.12771766978189","0.982778332968418","0.140354840263952","0.13676165358319","0.105086935638064"
"aipw","0.948707767261513","2.14855270487819","3.08937608086758","0.986044674882229","0.153737838744515","0.156084867440966","0.108802100350048"
"aipw-eta1","0.92704039310387","2.16002044037608","3.12236227675733","0.984352075080959","0.156731904953817","0.147132286545903","0.108068683738368"
"aipw-w","0.946930648055042","2.17306893748589","3.13003400205635","0.986284007477921","0.187763222243591","0.212128092229117","0.157906361370013"
"aipw-eta1-w","0.978693997650583","2.16532138598402","3.15351353243134","0.990315174123435","0.1959649978801","0.185181843910128","0.12149206840105"
"aipw-lambda","0.895455870802529","2.10086782779767","3.09957211958884","0.982242100669523","0.146493653573218","0.13630123243439","0.0987571745531226"
"aipw-lambda-w","0.928534160134539","2.09133266078473","3.08623841196463","0.983737473036651","0.172542338268853","0.158383109391688","0.106548783675984"
"mle","0.870436460008451","2.04145457389855","3.07604148818321","0.96252384468017","0.125779233538688","0.126507657370362","0.0970702373671572"
"mle-w","-0.0651691530386319","1.59429540536354","2.84048186926825","1.66757145042511","0.232161760154678","0.193618287803217","0.163129429965279"
