"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.983684472153435","2.03997538026513","3.06698418358476","0.973642882044708","0.0974917410140835","0.105954800925956","0.0845300201898623"
"naive","-0.627057112095032","1.12800486603668","1.6059111722584","2.84074519609657","0.253642981448606","0.314168162671419","0.232771661209201"
"cc","0.902191822282449","1.92172569781102","3.08907839378557","0.915963873356355","0.138437396627899","0.140290988947616","0.0979459579072049"
"ipw","0.912826909205231","1.90869623171624","3.05685781133746","0.916843881640203","0.141825965487293","0.144524294900428","0.0876471856315549"
"ipw-w","0.928661055561352","1.8282180391859","2.95815605886777","0.929530864593825","0.16753318324844","0.192735350412241","0.0791715776483212"
"ipw-yz","0.854816622306634","1.91851411951818","3.06240399765471","0.917861161244479","0.14336585038729","0.145109737661283","0.0909093270768402"
"acc","0.89642386244838","1.88099226746788","3.04383656760732","0.917699382039677","0.134757193578787","0.143825756641995","0.0982151538151867"
"acc-eta1","0.892676924403004","1.84894111611402","2.99664449113017","0.922822223708329","0.14148903298611","0.149078023951467","0.120522591626669"
"acc-w","0.803846413723307","1.95108468742877","3.05549362670376","0.923698938450914","0.177630563742774","0.165980257282232","0.13068224312149"
"acc-eta1-w","0.714166626223243","1.98587116787096","2.9717955079197","0.957087839895645","0.236021787048116","0.190450207109607","0.283016980932223"
"acc-lambda","0.882646383801342","1.87746712617036","3.02877397699293","0.919054937418852","0.133710695011506","0.140317022891999","0.0933883732077585"
"acc-lambda-w","0.875372482881305","1.89866171594715","3.04463373039576","0.917913203128393","0.138554995960766","0.140961947738511","0.0965905339415799"
"macc","0.910503426253267","1.87674096991707","3.04838701063781","0.91756075698236","0.134743550034293","0.139693953566282","0.0955613175976285"
"macc-eta1","0.893518829269314","1.85156225128792","2.99273598765984","0.923271848885197","0.142938876106542","0.149178305126568","0.123697026864417"
"macc-w","0.753515895944788","1.94024311692896","3.05271286151709","0.930021688391057","0.182839788731614","0.16134050616416","0.124902746320431"
"macc-eta1-w","0.714166626223243","1.98587116787096","2.9717955079197","0.957087839895645","0.236021787048116","0.190450207109607","0.283016980932223"
"macc-lambda","0.889609491576044","1.88869764604246","3.0489142140523","0.917366967716814","0.133710201538482","0.14000748000237","0.0952817723751077"
"macc-lambda-w","0.914194632184374","1.91337400474623","3.09828464318527","0.916236938188151","0.136483750269591","0.138635368564723","0.0946641860269148"
"aipw","0.916087453202087","1.83543285087845","2.98466920891994","0.924790075098839","0.136246585252818","0.143066440639195","0.0934179695106479"
"aipw-eta1","0.889000257580691","1.83986713054644","2.96938306776275","0.927160725791214","0.138903672692232","0.152140913626704","0.0985669247966908"
"aipw-w","0.689104229691149","1.89320656139357","2.92604114105886","0.963692671147174","0.245772894649812","0.223539855590304","0.12214519908528"
"aipw-eta1-w","0.763938032290954","1.89867944567673","2.90684810184531","0.956400064694815","0.245068912664395","0.241715357183811","0.133878941759662"
"aipw-lambda","0.900053641610452","1.87689127610562","3.02202991716754","0.919446971419043","0.135651385510969","0.144135955173407","0.0848545236911919"
"aipw-lambda-w","0.984255882549013","1.84041164648264","2.97898836927475","0.928799989638531","0.153940131932606","0.182156053711013","0.0747543840603507"
"mle","0.856841705991561","1.88974041218332","3.04974607418778","0.891565206229988","0.122427645059351","0.132837661343117","0.0874327692882976"
"mle-w","-0.223288829456607","1.43221023594475","2.48621723681712","1.97052574024616","0.226052432913912","0.303471393306008","0.244581158546913"
