"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.10388497400675","2.1642375039712","2.96878115954203","0.907538763204569","0.0917783463936365","0.0936094674410755","0.0671602148891805"
"naive","-0.169045134495295","1.25587459918997","1.56291763146244","2.84858458159566","0.297224065577552","0.299372084784008","0.199609945532554"
"cc","0.978701904792758","1.96663960139824","2.98068471762769","0.618604312560467","0.0925335134512778","0.118439857661139","0.110572539729942"
"ipw","0.994634582493969","1.99005079578219","2.98097471764052","0.619076345329053","0.0972282323242752","0.114881457343279","0.111291133201237"
"ipw-w","1.00764692308836","1.95819188527611","3.02751600955716","0.622310252066315","0.0895913147967121","0.112643157568589","0.0931625351588683"
"ipw-yz","0.966849138126678","1.98529158166084","2.98037310541291","0.619091054441874","0.0957002705493057","0.117655738944426","0.113066848798688"
"acc","0.986490963080112","2.0004757725912","3.01104946919421","0.61960356283305","0.0924652528290325","0.113355392891015","0.106277497667093"
"acc-eta1","0.979223620353745","2.04613883750048","3.06326304881254","0.625298661488749","0.0971264721521362","0.115118644267286","0.108080182663709"
"acc-w","0.946092729731823","2.00275594669722","3.01468850037179","0.621005411852133","0.0977832308411807","0.1143364634927","0.111498099204441"
"acc-eta1-w","0.895111257516296","2.05206381434011","3.07655148067311","0.634418901174071","0.113619687658601","0.118408743448819","0.11956500664866"
"acc-lambda","0.968206900686728","1.99856742877033","3.00131583624229","0.619504555097321","0.0927185299217297","0.115085735825345","0.108089308603793"
"acc-lambda-w","0.963385337665365","1.99743418625439","2.99047226478175","0.619565951258782","0.0921373661851328","0.116103397812022","0.108357743784218"
"macc","0.994068225428345","2.02153642683413","3.02667152917869","0.621062593300863","0.0933330194580161","0.114983569200179","0.108186877083707"
"macc-eta1","0.983172000446245","2.04747549484091","3.06395135616941","0.62538417134773","0.0975510200025892","0.115371154858749","0.108067063618381"
"macc-w","0.91885800827058","2.01116969132701","3.01982685291538","0.623952907617411","0.100589357234857","0.114284727695031","0.112226789763171"
"macc-eta1-w","0.895111257516296","2.05206381434011","3.07655148067311","0.634418901174071","0.113619687658601","0.118408743448819","0.11956500664866"
"macc-lambda","0.967281337644145","1.98739566633104","3.0004815123065","0.619185168790326","0.0930790229127482","0.116836493547312","0.107572432962072"
"macc-lambda-w","0.964768849137794","2.01032914447705","2.98949674008392","0.620261331759491","0.0933098347220638","0.114576038384321","0.109000727820669"
"aipw","1.01730926064013","2.096499077664","3.08066711419917","0.631256896039852","0.104773658436654","0.115080784991028","0.111330076822796"
"aipw-eta1","1.00498739378644","2.06459269338363","3.05846841606388","0.625990295848154","0.103389615628318","0.111950069999445","0.108074688190947"
"aipw-w","0.899858390853859","2.05544937410567","3.12015705540456","0.640883234873462","0.106151989216507","0.112357961193757","0.0959142846055231"
"aipw-eta1-w","0.938648622993356","2.03687780198181","3.1064052211713","0.633364722687742","0.101702352834262","0.112163283034223","0.0949563994722576"
"aipw-lambda","0.978248009113812","2.01028830372405","3.00326164036749","0.619829586126476","0.0986555389334759","0.113318803980186","0.107479313023197"
"aipw-lambda-w","1.01728257414355","2.0062886918772","3.03235668825762","0.621844764548143","0.0899599544469371","0.109547886227399","0.0916747764652673"
"mle","1.06056653680103","2.10325813814915","3.02981249993171","0.688188469004991","0.0953920275129616","0.10509449267295","0.0978976451693046"
"mle-w","0.188186234899063","1.703682365705","2.59206388163755","1.62767332063119","0.253786598657334","0.20785998616632","0.222492526518972"
