"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.00765136542817","2.02252793368293","2.98762509734663","0.978198447284396","0.0309980034773834","0.0371712090153997","0.024583422444195"
"naive","-0.182872728798091","1.3417198834643","1.71252730564934","3.04799134146572","0.0892049946393747","0.10863649824636","0.0844638955416311"
"cc","1.06814465544923","2.00566858373857","3.01296557307222","0.966027945304022","0.0431003315938278","0.0542587676571596","0.0361564104204745"
"ipw","1.05256248219591","1.99552683640484","3.0233584826734","0.966337033115535","0.0449150955814258","0.0543118535559838","0.0398912785297326"
"ipw-w","1.09318200639167","2.03471164642568","2.99039598609218","0.967514472671267","0.0549314407957421","0.0677791339834751","0.053378389175547"
"ipw-yz","0.942097266614015","2.00408924434818","3.03423077674063","0.974081569023522","0.0462613290970299","0.0585482679779195","0.0392645547860984"
"acc","1.08376707140379","1.99537634303498","3.00583728502944","0.966180905766184","0.0412250084234344","0.052118374454094","0.0340442269446642"
"acc-eta1","1.11004503675447","1.99170439536982","2.99025873939672","0.967113142077291","0.0493194102303496","0.0548379027037587","0.0415634493194171"
"acc-w","0.939832202723176","1.97731248647765","2.99895740989295","0.97556886809673","0.0493752565751466","0.058669825281961","0.0444594693759083"
"acc-eta1-w","0.793372401253731","1.99080570457487","3.02335956817824","1.00429636054431","0.0595437780890348","0.0682651936305897","0.0552378067946808"
"acc-lambda","1.08045073338863","1.99451743290738","3.00812351193552","0.966138573033113","0.0416101667011041","0.0525181712073542","0.0343738542565654"
"acc-lambda-w","0.987640517484115","1.98046939851584","3.00872293018922","0.969878355522288","0.042055715317186","0.0522900545203296","0.0349453224837395"
"macc","1.07538095891738","1.99572116617327","3.01321262263229","0.966099458573172","0.0417566238080836","0.0528966683520165","0.0345193875866069"
"macc-eta1","1.1120932284172","1.98611166831636","2.98936338306332","0.967222652753654","0.0522992074798168","0.0564396353863239","0.043360715626296"
"macc-w","0.811642820010666","1.94779718225948","2.96093415536753","1.00615960754899","0.0541179356513683","0.0640465954291957","0.0522494515909565"
"macc-eta1-w","0.793372401253731","1.99080570457487","3.02335956817824","1.00429636054431","0.0595437780890348","0.0682651936305897","0.0552378067946808"
"macc-lambda","1.07845276761193","2.00320702630839","3.01113158858948","0.966080675755741","0.0422109847613158","0.0531172092868997","0.0347177479344918"
"macc-lambda-w","1.01677290670723","1.98397393085118","3.02074568301783","0.967758507678411","0.0428239973202798","0.0537989367623516","0.0355907273583895"
"aipw","1.06605434432426","1.98919627529795","3.02802210757509","0.96650337506422","0.0444974978518166","0.0535908683953043","0.037434126687002"
"aipw-eta1","1.08503875262616","1.9836431409548","3.01262255090621","0.966378537719052","0.0464825345525548","0.0537339914538517","0.0377295551277693"
"aipw-w","0.678524940260967","2.03480769315585","3.02952325203324","1.03988704314138","0.0663405743130803","0.0725281041631365","0.0562925559469155"
"aipw-eta1-w","0.862019736402896","2.0386211528883","3.01977960078568","0.98740998377359","0.0639677076351455","0.0708749176000371","0.0575413407910411"
"aipw-lambda","1.06452337333734","1.99422123416544","3.02034309993264","0.966191096014964","0.0434412780776012","0.0525478588934728","0.0367241067934452"
"aipw-lambda-w","1.01280637943432","1.9841454653851","3.00874301735471","0.967951221059806","0.0545987139254106","0.0657960673414239","0.0527556570520486"
"mle","1.08956904000573","1.99501822053399","3.00551763729057","0.970588386906999","0.0394743651722734","0.0478593482282649","0.0324504608530176"
"mle-w","0.287974645315421","1.75675837539938","2.85067684409221","1.65944694023994","0.0850559892678809","0.0771136209963895","0.0654257936676608"
