"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.992244649687905","1.98514974292033","3.01538586411353","0.983391808626727","0.0311186525437149","0.0336586710393447","0.0255854071649957"
"naive","-0.349809032830961","1.2769434349025","1.57697377437464","3.18279707381769","0.094235992744235","0.112283362053284","0.0818954025218129"
"cc","0.990878001879603","1.99898105248136","3.01127130976667","0.985671684983486","0.0446882846841954","0.0502598945235455","0.0368879901280875"
"ipw","1.00641929046579","1.99805057372561","2.99706734975423","0.985913192447905","0.0472138522891243","0.0523241992609209","0.0384159588345998"
"ipw-w","1.04230245888213","2.03058259605809","3.0107665751749","0.987460225773913","0.0479136299522471","0.0687377693534797","0.0387288193086642"
"ipw-yz","0.884947637828766","2.00888643956913","3.01324175363893","0.991342099742616","0.0484362885497441","0.0551332455801885","0.0390749953345765"
"acc","0.987389330029321","2.01881264728606","3.0297353215455","0.985975742738391","0.0435104745441511","0.0479905799549753","0.0357628753664172"
"acc-eta1","0.95619306063694","2.03585533912635","3.06756099602568","0.988256014340399","0.0480023679255568","0.0510431389722628","0.0391217463658402"
"acc-w","0.843175131458782","2.03504696928189","3.03088932075737","0.996425558829266","0.0483090147385158","0.0511389579078416","0.0426513610651264"
"acc-eta1-w","0.65909262181209","2.0623387298791","3.07890703220941","1.03704660819546","0.0551562629374382","0.0592243592644926","0.0486318513751709"
"acc-lambda","0.987812943161508","2.01268292420119","3.02540042114549","0.985840414897024","0.0435690150083922","0.0483222242638534","0.0356117349097074"
"acc-lambda-w","0.918544418357736","2.00595164059163","2.99538728569127","0.989064244129269","0.0438183395472491","0.0478232502469558","0.036190069467822"
"macc","0.985787878912328","2.00721118981752","3.0215095702881","0.985756486345973","0.0435960185431336","0.0485725003847104","0.0357590661905401"
"macc-eta1","0.952804318623493","2.03657445802633","3.07026610706514","0.988538012089971","0.0488021595232267","0.0522058871938532","0.0394610171328521"
"macc-w","0.735210588121871","2.01374843700503","2.96772830997352","1.02433461893361","0.0512332505490941","0.0557160581810823","0.048284904803525"
"macc-eta1-w","0.65909262181209","2.0623387298791","3.07890703220941","1.03704660819546","0.0551562629374382","0.0592243592644926","0.0486318513751709"
"macc-lambda","0.982589424025923","2.01008407179207","3.02775080510751","0.985886390503271","0.0438937662658465","0.0487826643890111","0.0358401122250649"
"macc-lambda-w","0.920875654301279","2.01802543043999","3.01783905197473","0.988176684342372","0.0443972948553084","0.0481997979360533","0.0370518224987486"
"aipw","0.982280357401348","2.00271383502189","3.02156258154755","0.985769795092245","0.0459662004393115","0.0513794719301117","0.036759881468618"
"aipw-eta1","0.983914913545085","2.02851691853091","3.04539538995544","0.986618650379317","0.0481435664256029","0.0525558207402218","0.0384114413373628"
"aipw-w","0.650071777650648","2.07313924608533","3.04819361194289","1.04175812945196","0.0526765035893748","0.066029692066227","0.0426509301265296"
"aipw-eta1-w","0.780928001290846","2.08166850933248","3.08645759177319","1.00815565775137","0.0515322279456311","0.0626812633102201","0.0429464887825699"
"aipw-lambda","0.991513469277976","2.01109536135036","3.01976095915949","0.985757009093189","0.0459246669424356","0.0505125872180343","0.0369018738937805"
"aipw-lambda-w","0.925414343087481","2.0922208942152","3.01607723769182","0.991870389998335","0.0468512937434421","0.0617753272832302","0.038683902011448"
"mle","0.983818697426439","1.9899172111372","3.00776188303924","0.994946964228546","0.0409282296077836","0.0457789527534844","0.0335636996730281"
"mle-w","0.0291801588062311","1.70057346859666","2.8087399135344","1.86774958379304","0.0932718238737536","0.0910279010385061","0.0883766394706222"
