"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.02839398372759","1.99654076539435","3.02864600143261","1.00438178912504","0.0318766665923308","0.031967796958611","0.02265460233502"
"naive","-0.349809781893267","1.3559047605381","1.74487373783235","3.17949075364475","0.0902631884651242","0.104743034815919","0.0798147321513972"
"cc","0.977125883650012","2.09411875490474","3.10401355461061","1.00101031039589","0.0471614287023519","0.0487587670764672","0.0317935188369182"
"ipw","0.995452198998368","2.08648307491241","3.09274738613159","1.00122391095105","0.0497290389699094","0.0541013591381808","0.034990804607524"
"ipw-w","0.973620181889824","2.10699970818433","3.08923883310476","1.00148428451025","0.054075076595497","0.0554962315795339","0.0366746963160738"
"ipw-yz","0.863416299783355","2.11272826191516","3.11589987506152","1.00721337904447","0.0501125747627021","0.056059617197514","0.0350509497908322"
"acc","0.984886339950491","2.10096534024134","3.09657325803685","1.00113434514994","0.045468213581109","0.0458312242553022","0.0309464238087178"
"acc-eta1","1.02400160784196","2.10535765773222","3.06178111320122","1.00370441674174","0.054634607498445","0.0491880469183527","0.0413752416705406"
"acc-w","0.821838061643387","2.08360214219933","3.09066195932234","1.01385986085222","0.0519814333388222","0.0525482461108925","0.0390045899756939"
"acc-eta1-w","0.688524093898951","2.09684698721723","3.09685061758375","1.04262368898041","0.0591894951090048","0.0570395693787446","0.0475016177465435"
"acc-lambda","0.982119033265968","2.10153481971882","3.09909120147269","1.00108989545192","0.0456826022664286","0.0458428149571083","0.0309758593240857"
"acc-lambda-w","0.906570348173599","2.09516868123847","3.09618451241932","1.00377679590013","0.0458472128458438","0.0470200148279873","0.030783240623043"
"macc","0.986430398175172","2.10070038391042","3.09292555945094","1.00121793212206","0.0457920363319511","0.0463129821409907","0.0314780963833631"
"macc-eta1","1.02362440237539","2.11257338690586","3.05952779033599","1.00418331252392","0.0588623788391709","0.0505436119164942","0.0461026692770984"
"macc-w","0.736586745345583","2.05566758890658","3.04864896434909","1.03678991632885","0.0555177890674911","0.0562507972923936","0.0454036735713149"
"macc-eta1-w","0.688524093898951","2.09684698721723","3.09685061758375","1.04262368898041","0.0591894951090048","0.0570395693787446","0.0475016177465435"
"macc-lambda","0.979510679287529","2.10563197889318","3.10182869910699","1.00109809665708","0.0464651842571795","0.0467416229396946","0.0316289910346263"
"macc-lambda-w","0.932705463401471","2.09990716480432","3.1146428393841","1.00193310941298","0.0469073133550267","0.0480781914296801","0.0312663160690962"
"aipw","1.01977146526873","2.09651863966619","3.05997125940324","1.00345350456428","0.0497081664250464","0.050813189766979","0.0377561877922714"
"aipw-eta1","1.02375110003197","2.10904407451466","3.06422732332302","1.00363140117711","0.0531014203157647","0.0511240047519267","0.0407720754865252"
"aipw-w","0.617593820960443","2.10534816311548","3.07935948849477","1.06773038406679","0.065115719180631","0.0621352284962563","0.0416362045156336"
"aipw-eta1-w","0.725991849170037","2.12290152959395","3.09986288455857","1.03315210718006","0.0620545320259698","0.0592173437388722","0.0404022736077351"
"aipw-lambda","0.999165187396457","2.10618693066269","3.09335020224208","1.00143662048686","0.0490427289604811","0.0504398122270954","0.0348586458009335"
"aipw-lambda-w","0.926430268574097","2.11749730781418","3.11081010285315","1.00243425306069","0.0543397434748164","0.054666024107921","0.0351355772169007"
"mle","1.00757558840783","2.07578426805593","3.07208531619567","0.993200432899619","0.0414837297628414","0.0432522072925928","0.0296565487618308"
"mle-w","0.209382525934665","1.84419083403026","2.99813870286727","1.58714645103896","0.0902303227978432","0.0782633513445114","0.0647783636700561"
