"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.96040108570443","1.95009851540568","3.00444650238075","1.00267908969216","0.0316782779130674","0.0329390184952006","0.0230347679758505"
"naive","-0.414342640315467","1.26661929989974","1.65557063687229","3.32364696618475","0.0953904882411804","0.113291311107008","0.0780017699610039"
"cc","1.00436160181729","1.93722880916365","2.98304957313652","0.979848537104064","0.0463675781559593","0.0485000079839686","0.0343736148757575"
"ipw","0.997155509553618","1.92970024129307","2.98296868857958","0.979901710879414","0.0490462144869132","0.0507894721995473","0.0381461486004229"
"ipw-w","0.989987426783106","1.92422844520486","2.96651444636003","0.980310838283986","0.0510091222675461","0.0538285399889104","0.038127322711442"
"ipw-yz","0.877641684091456","1.94260392048684","2.99807085085182","0.987497731000324","0.0492937291386658","0.0515020058224621","0.036627538263356"
"acc","0.986592647266059","1.93978106259507","2.99863710986025","0.98013927791732","0.0442287310984779","0.0463651245566015","0.032691195538808"
"acc-eta1","0.94593649467909","1.93557745121284","3.02996245207123","0.982849648663414","0.0509785810203577","0.0505752064841206","0.0396063299243879"
"acc-w","0.835084481628867","1.95359746709878","3.02659895157828","0.993318653440296","0.0497630256994954","0.0517174066606874","0.0382880646980173"
"acc-eta1-w","0.639111657415367","1.96323605155106","3.08797939574818","1.04190068075272","0.057151592370006","0.0587377208458636","0.0441613651394649"
"acc-lambda","0.987761815817445","1.93168513984146","2.99688491308172","0.980147253024022","0.0441713034096307","0.0463499339050199","0.0325595422751988"
"acc-lambda-w","0.906855654983929","1.94234062640013","2.99727724151013","0.984349240925481","0.0446944478844239","0.0464524214979105","0.0326148227582756"
"macc","0.99305591410967","1.92761187537717","2.99129278264916","0.980025176172263","0.0443618721604651","0.0464162689009012","0.0329987028996422"
"macc-eta1","0.946506928352732","1.92895669590056","3.02814154473413","0.982858424851123","0.0535252505578074","0.0521273242863614","0.040785361303193"
"macc-w","0.733569641977604","1.91316932101306","2.98275107142067","1.01709583609389","0.0532796031743693","0.0564835963147665","0.0433380299405026"
"macc-eta1-w","0.639111657415367","1.96323605155106","3.08797939574818","1.04190068075272","0.057151592370006","0.0587377208458636","0.0441613651394649"
"macc-lambda","0.988852222848653","1.9269304628258","2.9929284711236","0.980107817154315","0.04527671665896","0.0470733222134992","0.0330246198696274"
"macc-lambda-w","0.917715174644347","1.95043488833676","3.01999012433393","0.98371504980046","0.0457182258214417","0.0474742253945966","0.0333958560772294"
"aipw","0.973790927377236","1.90250689731857","2.99545262566187","0.981081625506349","0.0484765571860704","0.0491072355946874","0.0339709206794626"
"aipw-eta1","0.956261356370558","1.91715127882023","3.01320389487183","0.981877463760935","0.051848828762965","0.0516892917671275","0.035689209433304"
"aipw-w","0.578272984562777","1.92232262209575","3.03222398976797","1.06428820432708","0.0573577999674724","0.0610836569247965","0.042462450149355"
"aipw-eta1-w","0.695939310478498","1.96396384827618","3.06370205749671","1.02399027364003","0.0550191859560158","0.0573889777039582","0.0406890563712742"
"aipw-lambda","0.978769757531857","1.92144303092206","3.00041432573564","0.980561113848506","0.0476804768011531","0.0490181059151453","0.0339623816815243"
"aipw-lambda-w","0.878083717310202","1.92791269570185","3.0078574000067","0.987611292406706","0.0503292118678833","0.0519664707124598","0.0367798742190109"
"mle","0.997047173776292","1.9125810563309","2.99822048553008","0.98849539650316","0.0408079237687682","0.0432614557278286","0.0289661334776942"
"mle-w","0.00191600956064308","1.59346648932965","2.83952805312734","1.92098224308397","0.0911876764872036","0.0857469208597861","0.0693191695651832"
