"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.982133898827093","2.01833853406344","3.03606359591734","0.977256825243264","0.0309043854064852","0.0332508701765221","0.0241278451152229"
"naive","-0.438761012731566","1.25625873611248","1.5778589043877","3.24872228802779","0.0942915132188237","0.108323736888138","0.0831584101175169"
"cc","0.976144172554853","1.99867556631993","3.06003261952574","0.933696430245268","0.0444999293329116","0.0504809363072854","0.0380003949813697"
"ipw","0.974845884120759","2.00899433891787","3.04308300440323","0.934155553533407","0.0447711597913387","0.0516525182594201","0.0371014817022444"
"ipw-w","0.961218196928172","1.99205646119849","3.05024221269728","0.933944844716418","0.0572311963897399","0.061051025461406","0.0478884430254411"
"ipw-yz","0.869714260557234","2.0030192870208","3.06416961137021","0.939636073754614","0.0462713697009932","0.0518702897363495","0.038969056333228"
"acc","0.965802249376901","2.01529971376623","3.06983712739132","0.933888274128412","0.0431019705021356","0.0479568901314637","0.0367821427417732"
"acc-eta1","0.96349122681621","2.01014336051488","3.07807013469447","0.933996788907026","0.0506016599913378","0.0596358865187645","0.0424458692689573"
"acc-w","0.82951873928268","2.06242924114195","3.10311769884034","0.946084097191546","0.0468996022393194","0.0510239223550315","0.0401010521965818"
"acc-eta1-w","0.670149189144436","2.11168441889981","3.15758725758918","0.984671373722966","0.0530613366713032","0.0555087407313502","0.0437715372559353"
"acc-lambda","0.969737528878553","2.0252277539146","3.07089876639991","0.934055449849617","0.0431260529384403","0.0478055352299378","0.0366465543994224"
"acc-lambda-w","0.892842204884098","2.0203735753355","3.06176696790639","0.937703339910284","0.0432218850222051","0.0478002948547476","0.0361366928430369"
"macc","0.973833981594194","2.01884522486896","3.0636504248382","0.933899489674484","0.0431642311832769","0.0478865187504656","0.0365540078951908"
"macc-eta1","0.969726836331604","2.00211957075067","3.07163662896661","0.933814122543854","0.0535577748015549","0.0625568733617458","0.0447985727451824"
"macc-w","0.723206788390702","2.05131618860355","3.05273823558255","0.970455230583152","0.0500953983830567","0.0533584952910808","0.0430905348889656"
"macc-eta1-w","0.670149189144436","2.11168441889981","3.15758725758918","0.984671373722966","0.0530613366713032","0.0555087407313502","0.0437715372559353"
"macc-lambda","0.976295400055008","2.00037697874976","3.06279271163211","0.933703220734209","0.0439075464635373","0.0494194414990175","0.0371133392600666"
"macc-lambda-w","0.888747328238937","2.06226239021965","3.09924400085814","0.939314730114565","0.0439159689294464","0.0491311326037132","0.0370472812954174"
"aipw","0.983435631503464","2.02221767654995","3.04248464110007","0.934529428455147","0.0443765093717052","0.0473488638981672","0.0359854296209789"
"aipw-eta1","0.971559791017777","2.0118613316583","3.05465864675968","0.93388696885003","0.0473486362896964","0.0504204434776028","0.038242911388688"
"aipw-w","0.543634610626333","2.10036420512837","3.1300338056581","1.02792439871936","0.0599567507183911","0.0593140192535488","0.0483234763940369"
"aipw-eta1-w","0.685263752913103","2.1057932338862","3.16671616451479","0.980389109228197","0.0579268871912565","0.0591825574190448","0.0468912011855655"
"aipw-lambda","0.974844027865296","2.01205328367637","3.04647880387074","0.934094049785401","0.0436800649883912","0.0471069413875637","0.0352538707463833"
"aipw-lambda-w","0.797778557923136","2.10079414062901","3.11771528597584","0.953884970074937","0.0555230937781211","0.0577639521974546","0.0450535813953303"
"mle","0.98373155335095","2.03183077211309","3.05061911994179","0.931034779168502","0.0391770288334744","0.0441211298283352","0.0319971262405583"
"mle-w","0.00351863173244436","1.7299856366479","2.88129651108615","1.79060350385529","0.0941399574418747","0.0786025184757545","0.0735547435223771"
