"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.00651659118409","2.00418009535803","3.0425192074755","0.971517201642898","0.0307482979612767","0.0317752173007679","0.0208264030427073"
"naive","-0.408008054383735","1.38781556129961","1.64772392371751","3.10161660357942","0.0902488954245827","0.108718420693055","0.0716001096635221"
"cc","0.987528946651116","2.00955533518587","3.01331062601391","0.987487348864388","0.0457716225735072","0.0471283928000614","0.0309492509921688"
"ipw","1.01023148607743","1.99484449930716","3.00907389179272","0.987801841081169","0.0472320185749195","0.0503839527597484","0.0352478812608805"
"ipw-w","0.95340304824298","2.02708572912851","3.01933820224678","0.988133446674247","0.0562068104720696","0.0549848162598847","0.038483568853734"
"ipw-yz","0.887614486912474","2.00778063269964","3.03336091270177","0.992575379827973","0.0483073479304256","0.0482541203103327","0.0360380741639635"
"acc","0.993343772460309","2.00037661629168","2.99394237180638","0.987816997444898","0.0443046903522252","0.04632703801254","0.0300504078532608"
"acc-eta1","1.03065857800256","1.98056644708011","2.94583408659234","0.991865496988735","0.0570901408137291","0.0538026550249847","0.05080377542953"
"acc-w","0.808871737731779","1.96754637405288","2.96015986389277","1.0085636804343","0.0515809738027904","0.0571860342326114","0.0408309995628031"
"acc-eta1-w","0.645380573237564","1.94544635528059","2.94347453605096","1.05569030393741","0.0620033253585816","0.0683580794502288","0.0546331573726218"
"acc-lambda","0.992749535863229","2.00421573573862","3.000739574189","0.987628702791027","0.0445085645876321","0.0461002546655116","0.0300166711775742"
"acc-lambda-w","0.914267693800201","2.00279161453528","3.01715510584803","0.990235118449917","0.0446584165513334","0.0464201469091675","0.0302146264274535"
"macc","0.998998381351469","1.99843194543286","2.99949565657386","0.987699444074162","0.0446669877108905","0.0457326048522598","0.0304077378048181"
"macc-eta1","1.05168170569733","1.9661591711062","2.92900019353155","0.994725221436548","0.0687825056095943","0.0613791942479789","0.066160616018502"
"macc-w","0.693348284589387","1.92074005529767","2.89392133332662","1.05156457524","0.0581978152146842","0.0660634870711178","0.0511171736037304"
"macc-eta1-w","0.645380573237564","1.94544635528059","2.94347453605096","1.05569030393741","0.0620033253585816","0.0683580794502288","0.0546331573726218"
"macc-lambda","0.99038697253653","2.00909034907116","3.00842967517382","0.987511403816922","0.0453150212394088","0.0467805611054543","0.0307313303106364"
"macc-lambda-w","0.926532226332287","2.0017677606682","3.01803064889173","0.989419659705373","0.0455265547001962","0.0471364133000505","0.0309165659842223"
"aipw","1.04383489352307","1.97227516583843","2.97684896831796","0.989966673508817","0.0510898993188943","0.0528341603567373","0.0427528943355689"
"aipw-eta1","1.04260557815813","1.96825605869454","2.95603829032678","0.991334666290123","0.0558368127831258","0.0577623920083168","0.0478638679990022"
"aipw-w","0.537454702971802","1.97964209596535","2.99598859034818","1.08801841665519","0.0643555635065801","0.0592844164363628","0.0440295861926222"
"aipw-eta1-w","0.672284135816392","2.00488945716845","3.01076487547426","1.03685499964633","0.0600890212415184","0.0563924315914868","0.0441415728397982"
"aipw-lambda","1.01156809386865","1.9992372507966","3.00910423946017","0.987792822610058","0.0468858251745409","0.0500539799672579","0.0343935620426216"
"aipw-lambda-w","0.851079441987172","2.0225758247748","3.00494933675494","0.997139405276191","0.0550905676559367","0.0518619077203975","0.0382681915015201"
"mle","1.01331217503465","2.0078592711039","2.99963099355539","0.982286556678933","0.0403757172552573","0.0419567238135083","0.0267583863100636"
"mle-w","0.100649765338306","1.74612968129424","2.78822897789495","1.77343118343433","0.0859721087125818","0.0776894679802378","0.0715453482803141"
