"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.02616156371835","2.0687860939194","3.011756127192","1.0111677647158","0.0319671676660983","0.0347330554750666","0.0234620754094396"
"naive","-0.408760645277645","1.5803530993007","1.58386470789059","3.29823835872625","0.0944791630762858","0.109866353617863","0.0817716182743952"
"cc","1.06499116672799","2.09080756430082","2.9587656761952","1.05157253673942","0.0483352883676937","0.0489896706387869","0.0341453365113249"
"ipw","1.05078853744391","2.04157120448407","2.93077380187753","1.05312999371074","0.0504497811262592","0.0517533535755358","0.0396704295050179"
"ipw-w","1.04175616540289","2.12766895803978","2.96242446856449","1.05240119160846","0.0581710659378393","0.0574860824900747","0.0394222941702833"
"ipw-yz","0.916291190794943","2.06454253856987","2.95841685066585","1.0623689211966","0.0523427343946313","0.0541327086407649","0.0399902557483967"
"acc","1.05636535201286","2.0828812406934","2.96671728408813","1.05170513389321","0.0462095325641962","0.0483614056483232","0.0327806603672171"
"acc-eta1","1.02751586178452","2.08941707708138","2.99999645276067","1.05350646999865","0.0506919521016101","0.0554703387569607","0.0350158971833383"
"acc-w","0.861048620072817","2.04380886038567","2.92744472622437","1.07419064782618","0.0555349208919488","0.0620208446985563","0.049819721895908"
"acc-eta1-w","0.637555032401795","2.03851234972952","2.9701300039193","1.1354992437779","0.0685137494701089","0.0778113713062289","0.0634100921242695"
"acc-lambda","1.05124437615897","2.07754144017009","2.97107306882806","1.05191067250538","0.045969548271797","0.0478110163592417","0.0320270384119261"
"acc-lambda-w","0.950234873046758","2.05807452096404","2.96046740289453","1.05829248982612","0.0465688120419149","0.0483017993373502","0.0325469325495403"
"macc","1.05196366808867","2.07698724457429","2.96422394764629","1.05178226056721","0.0464621222452954","0.0483266934804845","0.0330538555935127"
"macc-eta1","1.01809188070197","2.07285562652387","3.00073989251096","1.05425282371788","0.0523382381493666","0.0598161513141732","0.0367525831218622"
"macc-w","0.710435808804609","1.99712185062164","2.85842928829424","1.12805997176285","0.064660094972768","0.072684983254513","0.0664106660081939"
"macc-eta1-w","0.637555032401795","2.03851234972952","2.9701300039193","1.1354992437779","0.0685137494701089","0.0778113713062289","0.0634100921242695"
"macc-lambda","1.04188391201615","2.07360289730118","2.97827030066447","1.05234605694581","0.046331366176724","0.0487055952592145","0.032374831914419"
"macc-lambda-w","0.969342479475437","2.07877940700634","2.98909283763318","1.05625996876594","0.0477003582478572","0.0496861377200365","0.0334511755103239"
"aipw","1.01989248087471","2.0261497234649","2.95509640727915","1.05445745786825","0.0481956792730605","0.0532169349026909","0.038560298657057"
"aipw-eta1","1.01760250469051","2.01898740157964","2.96134569081924","1.05509567155806","0.0504931772779792","0.0594236877843619","0.0410318661397814"
"aipw-w","0.529686563813939","2.09272813694011","2.99963568397906","1.17632961521375","0.0657895487403835","0.0662465348044529","0.0433725060244689"
"aipw-eta1-w","0.706457556993663","2.10992531678165","3.01232829887961","1.10869985023659","0.0615158235013299","0.0657891569227771","0.0408970236829914"
"aipw-lambda","1.02252320565125","2.01574232959576","2.94990590220621","1.05497845274354","0.0475485896104864","0.0511846799910723","0.0380597455443002"
"aipw-lambda-w","0.875420644343093","2.13856723715575","3.02248989043845","1.06918421187031","0.0562338307209781","0.0586451086868118","0.0360775695515908"
"mle","1.02952142619158","2.11980797220739","2.98592121482213","1.0554315118979","0.0427040279054398","0.0431197138007712","0.0276129974832505"
"mle-w","0.00785562649526154","1.89503281541569","2.79722829609166","1.96884978381187","0.0901287301967054","0.0775887186668539","0.0716651623828258"
