"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.954858958390116","2.0313214790194","2.98481129800044","1.01116263205367","0.0319700297893698","0.0334379347121114","0.0233183234106417"
"naive","-0.420736455797012","1.48611483132506","1.60897195130895","3.19102126503991","0.0918639128683587","0.102940891056965","0.0765934696260753"
"cc","0.902108263316769","2.04710080221887","3.00133720117239","1.03859646988188","0.0479298019562339","0.0494110048767785","0.0347016568909098"
"ipw","0.915471921058869","2.02942423566507","2.99972926936534","1.0388158396218","0.0491607128918866","0.0504522663457842","0.0360215564994123"
"ipw-w","0.950971418914613","2.05987114764329","3.00744541650602","1.03991625344021","0.0570309037884533","0.0559192025203127","0.038428701607169"
"ipw-yz","0.777734415024239","2.04048255982541","3.01222126175312","1.04565482424893","0.055140473777896","0.0522673826720918","0.0406797025649669"
"acc","0.894161428732826","2.04709731358207","3.00818018607144","1.03865119862674","0.0462047242825229","0.0477864516394665","0.0332158014207849"
"acc-eta1","0.880149975503247","2.06124291852371","3.01508866019124","1.0389116432612","0.0528335964553551","0.0514262151945401","0.0396330393948205"
"acc-w","0.680861584937815","2.05438058793103","2.99845483043075","1.06221877342448","0.0553281962836721","0.0566715227138519","0.0488399454807116"
"acc-eta1-w","0.456108353254978","2.06069987896121","3.01641652444171","1.12834452841994","0.0677988004823861","0.0660422408361121","0.0635545266159448"
"acc-lambda","0.895184707261872","2.04841344642706","3.00588044246742","1.03862588830745","0.0462153843517432","0.0475665933514972","0.0330217609930776"
"acc-lambda-w","0.799243063895463","2.03733823547106","2.99262755797862","1.04406258153339","0.0464375765756208","0.0475152047763703","0.0335891254705138"
"macc","0.896347526355317","2.04852192201456","3.00270894753316","1.03861158917336","0.0463598296462835","0.0475189762600292","0.0330816000161713"
"macc-eta1","0.8729728958977","2.05998747798152","3.01849896317265","1.03908886113257","0.053914557359473","0.0515696717521964","0.0400740820209003"
"macc-w","0.527700385105088","1.9946757747439","2.91290541450112","1.12132722578952","0.0631715599514849","0.0639841061116964","0.0660934842788625"
"macc-eta1-w","0.456108353254978","2.06069987896121","3.01641652444171","1.12834452841994","0.0677988004823861","0.0660422408361121","0.0635545266159448"
"macc-lambda","0.894819142035089","2.04905842237327","3.00395861319014","1.03862136496175","0.0468344320491137","0.047928098145717","0.0336196414520945"
"macc-lambda-w","0.813300159202683","2.05065563392046","3.01476433799296","1.04210666708359","0.0472177216347046","0.0487949170027889","0.0345670077927305"
"aipw","0.903089137131235","2.04259265877437","2.99869957322285","1.03860691146536","0.0479085177652715","0.0481568875913429","0.0341421245771993"
"aipw-eta1","0.894736762971738","2.03804383678506","3.00923294862649","1.03872801283583","0.0506743108628275","0.0503038251240484","0.0366611639971948"
"aipw-w","0.416319851883083","2.08827584345856","3.05396812792017","1.14065316972493","0.065301476037089","0.0599821633584927","0.04586029160447"
"aipw-eta1-w","0.600517830455685","2.12695897071968","3.07916665077371","1.07946354386762","0.0630837447277405","0.0601471756973129","0.0447963325501777"
"aipw-lambda","0.90749166114957","2.03156894177487","3.00281215655916","1.03873978431702","0.0478151501328123","0.0484821425166505","0.0345211152859505"
"aipw-lambda-w","0.805078869555586","2.05968956316545","3.0288694320312","1.0427983445225","0.0556865660307941","0.0540685649751361","0.0377297735065437"
"mle","0.895770812083531","2.05565106113726","2.98485379988267","1.02089291991567","0.0416241511378632","0.0429338683162412","0.0288226661859325"
"mle-w","-0.040261705017731","1.80447697423899","2.79252023031421","1.8176037410418","0.0839794846998622","0.0723646641830769","0.0621272934891735"
