"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.06875962021901","1.95297262926159","2.95679871027892","0.952526087622468","0.0301091835041583","0.0315778080724113","0.0227916939870045"
"naive","-0.264967622171512","1.28024095304589","1.65107987562117","2.79065872270424","0.0785963218354733","0.0945238254750129","0.0667337852908429"
"cc","1.05707218277331","1.92436211623533","2.97901931494619","0.935309303028199","0.0416246256991143","0.0424250820080846","0.0300669177779322"
"ipw","1.06200659299367","1.92578073014869","2.97234129439403","0.9353733053189","0.0415386812712921","0.0428571853929499","0.028848579078427"
"ipw-hat","1.06403729641352","1.92918948153416","2.96782331881045","0.935506728305148","0.0419517292212981","0.0438825883110196","0.0276057209031809"
"ipw-hat2","1.06348706697002","1.92637903631696","2.96713529096228","0.935490790193969","0.0419701904299945","0.0440032303968266","0.0276403315522163"
"acc-lambda","1.06601743238869","1.93691703338375","2.9808951509639","0.935430872213872","0.0406863347456945","0.0414282359834103","0.0297571460610626"
"acc-lambda-hat","1.35030490872556","1.83365121626572","3.05350586906838","0.996463299886681","0.284077369705837","0.0979312212925003","0.0780193891457786"
"aipw-lambda","1.07064451222134","1.93898600336775","2.97524920951632","0.935570069103091","0.0404971617001045","0.0417130360942243","0.0285761177281189"
"aipw-lambda-hat","1.1853614300175","2.37071865598488","3.10719153593484","1.03449190921728","0.124170550719796","0.427248853530581","0.137207735297692"
