"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.00859535651967","1.99005205286072","3.0048225307277","1.02294703881629","0.0323336770937057","0.0347555769381455","0.023663896924221"
"naive","-0.339145294549381","1.44155424845333","1.758865019479","2.90370120886076","0.0855421684292791","0.0963122578574392","0.0696312540326887"
"cc","1.03160940195317","2.01431252354594","3.02404645377447","1.0412713876804","0.04730510672019","0.0501375146307321","0.0341307970932417"
"ipw","1.0383973481189","2.01936325039703","3.01946075354997","1.04133427286426","0.0485071490447487","0.0519266543832959","0.0362007121740852"
"ipw-hat","1.04487154274231","2.02297031871864","3.01241704849392","1.04155513774342","0.050185143050008","0.0543454640736908","0.0394750646444773"
"ipw-hat2","1.0463023705028","2.01089555709312","3.01400832353476","1.0414417573161","0.0502093595153323","0.0558236472510071","0.0394285584465571"
"acc-lambda","1.04878618111741","2.0157164054294","3.02248074170125","1.04141540571514","0.0460145885160201","0.0479287261386012","0.0332264465547352"
"acc-lambda-hat","1.03445732945764","2.0180793462797","3.02931433026207","1.04130252851345","0.0471831563568512","0.0498624212933074","0.03341009718882"
"aipw-lambda","1.05601633033697","2.02080606112878","3.01686000905611","1.04163558855432","0.0471456001998442","0.0493626599735644","0.0350987433812885"
"aipw-lambda-hat","1.0458177910233","2.02354946293317","3.01564553459123","1.04150401486069","0.0501214450622321","0.0541263179886295","0.0389737377021796"
