"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.0483545197842","2.01073382760349","2.98177391320653","0.992140527200212","0.0314580019155179","0.0343471256156779","0.0229872198675409"
"naive","-0.210728564343875","1.36073927709407","1.7766632013018","2.89609816674465","0.0807374282912227","0.103660352789852","0.0726963212157571"
"cc","1.07843295189443","1.98512167805775","2.96902983561229","1.03822886834566","0.0465312149800878","0.05143586960928","0.0330891553171284"
"ipw","1.0801736548065","1.95946208859205","2.96193008715282","1.03850972346912","0.046809745168267","0.0521516326069284","0.0329683870597353"
"ipw-hat","1.08170898141962","1.93973164323346","2.95421801433132","1.03911517552075","0.0486154027273815","0.0581113939246734","0.034586293833678"
"ipw-hat2","1.08181006854374","1.93951591895341","2.95409598737384","1.03912416069928","0.0486051986896716","0.0580487818175878","0.0345651323318869"
"acc-lambda","1.07615499433479","1.98465103337763","2.95898245178672","1.03833622850464","0.0450330527326279","0.0491689323608584","0.032448388351283"
"acc-lambda-hat","1.08001542362882","1.98763092895855","2.96897436000199","1.03823285479095","0.0464650028146381","0.0511576942813415","0.0330667864257753"
"aipw-lambda","1.07944687344298","1.9604358960153","2.95242535180734","1.0385899607899","0.045133701240979","0.0489677538866242","0.0320586695632417"
"aipw-lambda-hat","1.08447422356083","1.94660497600461","2.95466878383385","1.03889041548728","0.0483883031866869","0.05687559788798","0.0343120310164913"
