"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.961352374055792","2.05024757529502","3.03243815272964","1.02363629515165","0.0323595118667376","0.0332445211079164","0.0239136796344922"
"naive","-0.421199105597027","1.30619681420216","1.73616962543675","3.06090848477227","0.0849351467497368","0.0979953469839902","0.0764009463784725"
"cc","0.971392480272524","2.04655696865348","2.99710372059606","1.04670453308295","0.0465826242809777","0.0460957358374398","0.0365313612713532"
"ipw","0.978721702248077","2.02408206061249","2.99210858621666","1.04694913080747","0.047223092561183","0.0464071409232603","0.0379933224002235"
"ipw-hat","0.981248085177632","1.98384786074645","3.00175716677337","1.04902382727045","0.0522942486095253","0.0539602681706439","0.0511960408565471"
"ipw-hat2","0.979376343208512","1.99537086493195","2.99962587122551","1.04820294912986","0.0523035557423275","0.0535331686448118","0.0512514989307384"
"acc-lambda","0.977156342074393","2.05657078578927","3.01715464034972","1.047034574564","0.0456686598463784","0.0460209156216832","0.0348638248648591"
"acc-lambda-hat","0.970724519639739","2.04801867492829","2.99922243602855","1.04670786721578","0.0465435662039698","0.0459933628164722","0.0363953173806211"
"aipw-lambda","0.979780552465833","2.03326278620354","3.01700895854117","1.04736865198133","0.0459270778793803","0.0463578162485636","0.0355141582128174"
"aipw-lambda-hat","0.977027062216282","1.99497571694341","3.00519724195265","1.04843237283765","0.0521899146466827","0.0536791715593483","0.050423726390712"
