"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.952499395419612","1.99422234000496","2.97642584995987","0.982621372388347","0.0980839436976302","0.095448794558408","0.0743416783681926"
"naive","-0.602895562278551","1.42936022422255","1.83810790795822","2.94761139761173","0.260566136675693","0.3164719222943","0.198825384213118"
"cc","0.797967934171678","2.01179213785147","2.97535168443819","1.07401511709625","0.159137005630294","0.158258411293131","0.122056414050639"
"ipw","0.774121758352057","1.94315921568296","2.96734724777798","1.07616368203297","0.158462054652602","0.17099244104504","0.114058016641575"
"ipw-w","0.723176557411349","2.10910048088611","3.0192310323279","1.07992763850987","0.162618984005801","0.178842702241802","0.117997369461669"
"ipw-yz","0.646743320235025","1.97476014627193","2.9787318914996","1.0849179832609","0.157798425495272","0.166510354469123","0.114252864331276"
"acc","0.882739782120454","2.00199007979725","2.99732967214484","1.07841514945467","0.149413486073595","0.150144096651232","0.112808458721269"
"acc-eta1","1.01085689469957","2.059464087782","2.94846152559168","1.09478219673135","0.186655542048689","0.158887451212128","0.144813755089058"
"acc-w","0.812302226111305","1.96332029401782","3.04714404332023","1.08038232017397","0.17297494564443","0.173091530343428","0.132420012640999"
"acc-eta1-w","0.794205281964487","1.98946242873858","3.08258892029873","1.08343324020031","0.240463729632772","0.210002840705167","0.170932197517343"
"acc-lambda","0.880019162752011","2.01266147835757","2.95536162536324","1.07694746080535","0.151213053108246","0.148061718022279","0.113947592716661"
"acc-lambda-w","0.790288726641372","2.01170424583131","2.97684494023684","1.07404076335181","0.152226968264367","0.148456037038889","0.115153690122109"
"macc","0.894132541932761","2.02407128174404","2.98992082868394","1.0788692720571","0.150958385320181","0.146756643798406","0.11532057083319"
"macc-eta1","0.982597534944548","2.05416897464567","2.94748303061793","1.08968901039544","0.183904234754067","0.166450115799063","0.145417048625326"
"macc-w","0.689352946855322","1.89526615785527","3.03248840772909","1.08747440059624","0.183401976947127","0.167857249096441","0.138805372492325"
"macc-eta1-w","0.794205281964487","1.98946242873858","3.08258892029873","1.08343324020031","0.240463729632772","0.210002840705167","0.170932197517343"
"macc-lambda","0.870424244345637","2.04256276081258","2.97628456066204","1.07680515967929","0.151672724726327","0.148297827702607","0.113809127783647"
"macc-lambda-w","0.811129531213269","2.02668478726567","2.99650008854336","1.07450457717628","0.157446433374514","0.15284593043622","0.119675109340792"
"aipw","0.93046859793905","2.0354443578714","2.95883636789977","1.0819649259603","0.152694355456377","0.163739549519392","0.111946844883145"
"aipw-eta1","0.919877720198113","2.00114195911896","2.97656773852792","1.08104735793407","0.151035793649962","0.177735500384092","0.10529563327397"
"aipw-w","0.554926973313856","2.04920621928751","3.11640676559201","1.10469824445935","0.213016850688048","0.192572234116904","0.155712586582922"
"aipw-eta1-w","0.732173740128291","2.10216517183132","3.12209018411534","1.08856054482311","0.198778342100433","0.212982707432643","0.145430765724822"
"aipw-lambda","0.867644499820418","1.9870899358915","2.96689669805026","1.07638951087438","0.145443617716196","0.160328418358179","0.101796077949321"
"aipw-lambda-w","0.736601805348596","2.12714238729146","3.03386249735338","1.0809389738836","0.157113354899847","0.173588503377047","0.117165014831126"
"mle","0.885181301031851","2.09851333535239","2.99198282669042","1.07480091570482","0.139192208831173","0.132420206285429","0.109486026997311"
"mle-w","-0.0249043516373637","1.82408713331833","2.84673770294858","1.67963542348829","0.262892563291773","0.247359074901593","0.230534811865211"
