"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.945956861378436","1.81106913465733","3.01561083515634","0.968723011962538","0.0977197275703266","0.0955451864226236","0.0605387902709927"
"naive","-0.530152691299312","1.13958774394148","1.89078907168801","2.87050346703688","0.251983987771055","0.324304932518147","0.236086891434299"
"cc","0.964537490721243","1.79732711253847","3.09068199593703","0.912016153807584","0.127869884772722","0.109160422387195","0.0712433469133025"
"ipw","0.917997484732748","1.8345902086335","3.12006165738176","0.915098599172048","0.136997373447996","0.110711353363374","0.0690472973204179"
"ipw-w","0.969883316238615","1.74131636447768","3.00389201583801","0.92276535663785","0.161245323401976","0.177741020824571","0.114081288242421"
"ipw-yz","0.81923009420409","1.82078521521341","3.11191047441303","0.924944396709356","0.13889057637981","0.107259257507699","0.0676095470875128"
"acc","0.998508066490748","1.74798022926815","3.02037883146236","0.920194856795533","0.117815125942394","0.0932836382557867","0.0666795613326116"
"acc-eta1","1.15599618303728","1.56515713161751","2.81641234863554","1.04657743987244","0.135403604890889","0.188490607429284","0.148622497383606"
"acc-w","0.796567514288127","1.71498817475066","3.05802167313741","0.929316574295299","0.145422000972849","0.110065808391148","0.0785045284367252"
"acc-eta1-w","0.614973129364157","1.66746337759924","3.01453980155086","0.982355928365936","0.181654177801047","0.129663573643279","0.0982998618241427"
"acc-lambda","0.988306743290622","1.78823387739913","3.01689102567006","0.919861261035369","0.116690104214701","0.0969539634509023","0.0695027045483396"
"acc-lambda-w","0.857564159118114","1.75764073506603","3.05832683367701","0.919327322430369","0.12134297022417","0.0981162449250799","0.0673135486868285"
"macc","0.980490528386129","1.77603937262865","3.04141507223203","0.915582143730734","0.119225360806427","0.0968005753259254","0.0692115804866214"
"macc-eta1","1.14475547744159","1.50593314136502","2.81214674267601","1.05668044592889","0.13968199624993","0.229692131404661","0.162671130413766"
"macc-w","0.616381428235857","1.66621632554144","2.99539140970755","0.984914829873027","0.175383011065495","0.134014329238269","0.094438001913125"
"macc-eta1-w","0.614973129364157","1.66746337759924","3.01453980155086","0.982355928365936","0.181654177801047","0.129663573643279","0.0982998618241427"
"macc-lambda","0.995206990628047","1.77467703772433","3.03623113132693","0.916815932763955","0.118870875058134","0.0975489383603968","0.0695629675975512"
"macc-lambda-w","0.888379961585521","1.76066508095525","3.10291485520463","0.91593082436687","0.125217584702759","0.100363505342478","0.0696808965976894"
"aipw","0.962431087201367","1.79308378952211","3.06100106186504","0.913195247287639","0.124090741809009","0.0906617341196079","0.0654791268825093"
"aipw-eta1","0.989968078166317","1.70957679138266","3.00517278976469","0.924658513695746","0.124023228200916","0.0920892996882495","0.0617671792831773"
"aipw-w","0.477590233795698","1.6442359449864","2.96776516114392","1.04548988002097","0.185631093443959","0.151470349393324","0.127736667798378"
"aipw-eta1-w","0.695385345079437","1.65101799784116","2.97561612432009","0.966963209724357","0.172225027563528","0.134344570680756","0.12443889553664"
"aipw-lambda","0.942453539028598","1.80171385557979","3.05345964442819","0.914122623357691","0.125059306230619","0.0950416407413666","0.0625567229224366"
"aipw-lambda-w","0.853574011637467","1.62723193636254","3.05497515091889","0.929719782021686","0.150048484936539","0.137063080336758","0.113830508157061"
"mle","1.0437065789378","1.82739341391599","3.03292900448873","0.947288643246793","0.118601118344454","0.108856792401646","0.0719500405885391"
"mle-w","0.288794879112761","1.45802592538083","2.83822769553618","1.54156694578154","0.285873322190507","0.265610097103632","0.189447436007219"
