"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.07627890606147","1.90354675703521","2.97754071260294","0.98395653620347","0.0985676409988263","0.114469691025391","0.0962294364990768"
"naive","-0.126412748985735","1.76405740979962","1.90513976025899","2.66392589898099","0.28503443916909","0.33953556205398","0.266979834826702"
"cc","1.0910756705071","1.84740482601919","2.94606155122956","0.90480520351785","0.119466297212212","0.151878049034684","0.103823808754416"
"ipw","1.08819271290903","1.90437226205942","2.96922114296845","0.906097172548393","0.1173550654082","0.143815372659542","0.102164613024719"
"ipw-w","1.04020298535663","1.83081452299889","2.94562870267302","0.906651460690338","0.106391304309924","0.203389794726591","0.121200708484084"
"ipw-yz","1.01406568776803","1.86061498633329","2.95378452312751","0.907672991890659","0.116215135800774","0.148358775453377","0.101362566748532"
"acc","1.07348295057963","1.92242325444084","2.95080578430104","0.907100040874973","0.115062351550586","0.146656676822957","0.100092900818458"
"acc-eta1","1.02797288532178","1.96246798225647","2.9981769252913","0.909464637905278","0.120903763053858","0.164099789387283","0.102347801572546"
"acc-w","0.937826529942601","1.89166606717499","2.94986756057139","0.916187280442541","0.134006688104663","0.157516973625737","0.119521950009053"
"acc-eta1-w","0.734203711797955","1.93478683409981","3.02091119963054","0.961843900093873","0.164839529815428","0.208129043164476","0.150281419774073"
"acc-lambda","1.08342871680883","1.84395249323615","2.95391226742269","0.904919865650254","0.11528184738363","0.148012850227761","0.101246381853841"
"acc-lambda-w","1.01729586971872","1.85280731783879","2.96244986611865","0.90761195021129","0.116445913624403","0.147174810138899","0.099669814526837"
"macc","1.08098204320132","1.87658334029803","2.95358015430244","0.905089257141914","0.11497515907401","0.147616052567712","0.101116081165353"
"macc-eta1","1.02843155051527","1.97787923883246","3.00263018814799","0.910587016671819","0.119946985216065","0.175012930337196","0.101146280980852"
"macc-w","0.793408684509688","1.79247658082273","2.85427565576375","0.971243487090871","0.150607305912801","0.208017110735123","0.156915501748042"
"macc-eta1-w","0.734203711797955","1.93478683409981","3.02091119963054","0.961843900093873","0.164839529815428","0.208129043164476","0.150281419774073"
"macc-lambda","1.06394898378437","1.84972553717355","2.97067263992192","0.905636631733289","0.114521296865525","0.148366169289608","0.099879535428658"
"macc-lambda-w","1.05306084305162","1.85665815614865","2.95832877444948","0.905499531637187","0.120079246244604","0.14667083959248","0.100463579846934"
"aipw","1.0657037929673","1.91014924781304","3.00945041605219","0.908001720746936","0.118305733902354","0.166703496753012","0.104514949268372"
"aipw-eta1","1.03916985141795","2.01362953475465","3.01986813344254","0.914269463184944","0.117001397735993","0.169827559279569","0.100304421345814"
"aipw-w","0.552737371077103","1.83774923372516","3.03249604786964","1.05137772356723","0.161003210143932","0.218755460213799","0.117289021360396"
"aipw-eta1-w","0.747864248838189","1.90584397355957","3.05554497045254","0.962287076729037","0.14061152972674","0.194822847279425","0.110881697261505"
"aipw-lambda","1.06257569805205","1.88525802188441","2.9927478103052","0.906502121832578","0.112990845908906","0.138338391851396","0.0983799765763977"
"aipw-lambda-w","1.03798442820633","1.83616437770663","2.94198449399937","0.906666975180928","0.106792506450437","0.194050059259376","0.111916310557007"
"mle","1.07883570294631","1.85458499889796","2.95741010074721","0.896884005308246","0.109600953354195","0.139078968631886","0.0977226751129457"
"mle-w","0.441309353697692","1.83298917884947","2.9345241190662","1.3385200180088","0.224105581661018","0.208415339840698","0.142953091178469"
