"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.05410345149313","2.12359246464471","3.12279891805329","0.895058670151122","0.092564180540592","0.0868163184361804","0.0734668857385873"
"naive","-0.360107007183463","1.75972305357422","1.77319813871134","3.26946717234246","0.344283924771288","0.354559944203308","0.22054731629749"
"cc","1.29111598961909","1.92265086353175","2.97838151921699","0.868109528636097","0.13566780790315","0.13738687513875","0.0856538459113171"
"ipw","1.2676190126094","1.94959103127426","3.02770659287686","0.870313939488707","0.131839500808128","0.138272299011334","0.0968622908000241"
"ipw-w","1.31942755504765","2.06895010576762","2.9088916525065","0.888830642669563","0.185523694170606","0.204522024064963","0.103527258301757"
"ipw-yz","1.19523092241726","1.94117124323857","3.03000700941293","0.873751184939445","0.12740782728148","0.133873743668609","0.0911347489700571"
"acc","1.26633097739423","1.97362066007721","3.00881271402478","0.869606156237501","0.128853613077228","0.134303111374884","0.0826044805519439"
"acc-eta1","1.19812206304832","2.03552305307642","3.07791918327835","0.880103116899802","0.134888100683697","0.134768613536891","0.0925344058328595"
"acc-w","1.09872777376438","1.95670379077157","3.10130725061709","0.89356431349029","0.12887897535159","0.132859828756614","0.0901387094389142"
"acc-eta1-w","0.86532875872328","1.98077445493477","3.17967490357218","0.968234277361198","0.147962569679401","0.151598173376968","0.106131910427492"
"acc-lambda","1.27412513299635","1.94123003143188","2.99494841138623","0.868457235891141","0.127790515181836","0.133870060717438","0.0792211927357847"
"acc-lambda-w","1.17574012535843","1.91682750236675","3.01669907544448","0.875585463767159","0.12863993896447","0.133310323083986","0.08024825521571"
"macc","1.28711278314959","1.96679074398914","3.00601205403221","0.869281439590373","0.127971866050259","0.131573476874801","0.0845584756233548"
"macc-eta1","1.19427413164221","2.03941036651161","3.08405077428663","0.881331779348528","0.132568501848922","0.131746596397068","0.0915787260039417"
"macc-w","0.97169944771827","1.85447637745842","3.02927704130804","0.926004058761998","0.140035971314601","0.15438817247123","0.092940879356861"
"macc-eta1-w","0.86532875872328","1.98077445493477","3.17967490357218","0.968234277361198","0.147962569679401","0.151598173376968","0.106131910427492"
"macc-lambda","1.25826584589285","1.96240073223796","3.00767376144799","0.869387802001292","0.127755379130223","0.130360569597781","0.080717874141209"
"macc-lambda-w","1.12860158789212","1.90686859058791","3.04371079642852","0.884024157122431","0.129487606248045","0.116923108888233","0.0795713396146461"
"aipw","1.25398709236744","2.01663538902934","3.08119192755622","0.878437600013813","0.124851347234615","0.128690277288928","0.0959863850710019"
"aipw-eta1","1.20450398757136","2.05089010696945","3.11007694790844","0.885781436027032","0.124210616082581","0.127525423960001","0.0939398783837456"
"aipw-w","0.665634623102929","2.11315460912609","3.1212805720819","1.0532348148631","0.196911020838065","0.167268511306707","0.099687592345205"
"aipw-eta1-w","0.839800037975272","2.23073434067931","3.18656429257265","0.989759042934158","0.174745006219569","0.17974250810822","0.0897446118136803"
"aipw-lambda","1.22346494673811","1.99806406918789","3.06451976351825","0.875743932210365","0.122511667908885","0.128289996282652","0.0898107857385327"
"aipw-lambda-w","1.02128063365865","2.09794725009606","3.03579952300056","0.912796783198477","0.178549190531137","0.160198949684491","0.0762623909893527"
"mle","1.23206586709432","2.0477548566316","3.04449064090793","0.87139291743554","0.123478392846026","0.125949672285501","0.0850613113740906"
"mle-w","0.155444759922717","2.05371866336445","2.99217191001898","1.7695911098714","0.353371775040613","0.219219285817445","0.17470084910761"
