"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.832450936463813","2.06684362742967","3.08086961914579","1.01880777592449","0.102146114186143","0.108097188683416","0.0705294986384214"
"naive","-0.554048004050041","1.21511558260447","1.53304083705946","3.31556182843065","0.279969647083714","0.377387842156925","0.224573002542051"
"cc","0.885047524331683","2.06204583372321","3.00857323562478","0.986362544084101","0.142430286904437","0.157421666122398","0.0866823322898683"
"ipw","1.02562680071888","2.13508946914654","3.00857792940592","0.997558224313227","0.155568486936007","0.156424467198248","0.0904579292627028"
"ipw-w","0.870414085325397","2.22409843443354","3.02203432817232","0.998038556708284","0.160704975460369","0.163114453781801","0.0854120427637296"
"ipw-yz","0.885253367475591","2.13863644880106","3.00305483039719","0.989165325323605","0.143993514905509","0.15941104446625","0.0798517300865706"
"acc","0.91965168094548","2.02095897203315","3.05053660491264","0.990485988706639","0.151078953170405","0.162412989467297","0.087878881759432"
"acc-eta1","0.877096941471067","1.92224115939468","3.02390861822975","0.995921585261794","0.183146458731472","0.224158132759102","0.140050553464979"
"acc-w","0.835056562823953","2.03692445313289","3.0796891577594","0.993020038228402","0.16705773178399","0.164936759244435","0.0942535118366793"
"acc-eta1-w","0.709066846723483","1.99122364850835","3.05131753775117","1.00435542639127","0.230180538984199","0.277026607195552","0.171374992323897"
"acc-lambda","0.900838558342371","2.0328211006456","3.01901916367212","0.987159789399252","0.14278158859533","0.159343297955495","0.0855949115447967"
"acc-lambda-w","0.899484044413749","2.06385583905029","3.01852293618551","0.986588399371061","0.143658572586349","0.156416168109387","0.0850200516943615"
"macc","0.939591802036644","2.08099545206603","3.06202113848611","0.991069939221982","0.151440763866142","0.168087100381569","0.0883481367585951"
"macc-eta1","0.907972023780815","1.91907110546403","3.00866847612189","0.996191671569289","0.194088448443327","0.240326318492226","0.156082826319911"
"macc-w","0.772488194066205","2.17150451609169","3.0854958959592","1.00176518755395","0.184708598969917","0.176273544567458","0.096675947211669"
"macc-eta1-w","0.709066846723483","1.99122364850835","3.05131753775117","1.00435542639127","0.230180538984199","0.277026607195552","0.171374992323897"
"macc-lambda","0.90215553800386","2.03339192711495","3.01218411562923","0.986992119360945","0.14266095511154","0.157074196442718","0.0860534735027863"
"macc-lambda-w","0.92206863292928","2.02806579605163","3.00967039270448","0.987740132028886","0.145341884072776","0.158504786286305","0.0860834760591016"
"aipw","1.05117611455956","2.11710165099126","3.03222520663837","1.00139758333016","0.167861337001876","0.177611097989984","0.0952284362579982"
"aipw-eta1","1.03295040386216","1.99270689218972","3.01142086208068","1.00082046923863","0.181743191569029","0.186638023234056","0.103810721101773"
"aipw-w","0.651204675661277","2.35692418004506","3.07551034505881","1.05506820351095","0.220514876806092","0.220367301408078","0.133325475268424"
"aipw-eta1-w","0.675729967806875","2.10685238918109","3.05538839818575","1.01034327201278","0.206297671502196","0.224467004037477","0.139330303762555"
"aipw-lambda","1.04493266201784","2.10585501378696","3.00419991072232","0.999270720079868","0.154182041896067","0.154641975466114","0.0892402019545083"
"aipw-lambda-w","0.904360657344755","2.19617840296298","3.03263156115135","0.994068208529319","0.163656045638435","0.162559045308419","0.0845187953667114"
"mle","0.929458021352285","2.1006224974552","3.04959518107298","1.04765110582512","0.132634369495816","0.151238174085348","0.0806222903117775"
"mle-w","-0.205945774513326","1.48582588567897","2.45758625671315","2.36714832915583","0.259840714287767","0.347483062916911","0.313606854322444"
