"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.010911728045","2.00855615889425","3.13083360746325","0.951871849988255","0.0953340459346791","0.0882561795499286","0.0792087969084288"
"naive","-0.519140834736317","1.1793706743456","1.47794721589814","3.46203701059348","0.313112768312922","0.321905234096795","0.324278182809643"
"cc","1.0475752604988","2.07245852589116","3.16005565355641","0.934305904894358","0.133048622690855","0.113439142264988","0.117550356657229"
"ipw","1.12501353039472","2.08011816112393","3.19861871439526","0.938789774340105","0.140533251684565","0.113102283894638","0.129192489652334"
"ipw-w","1.05347440260283","2.00738926163644","3.04715858965692","0.943996341636465","0.110408471476047","0.107892939940863","0.0939687017559044"
"ipw-yz","1.01108406435447","2.08551571014622","3.20735352495807","0.936429563997843","0.135819291337047","0.115044259453635","0.123866479367834"
"acc","1.02426776716237","2.03846591024795","3.18022711350456","0.935503171610166","0.133424372650595","0.120065186863382","0.118188314589841"
"acc-eta1","0.976467315746277","2.00052037635279","3.19921024679805","0.940568052726715","0.14288373978324","0.140966824027046","0.126000515473747"
"acc-w","0.893380186862081","2.01162478857068","3.2376059152478","0.951837893622075","0.164276773987766","0.174052259507947","0.14815810409252"
"acc-eta1-w","0.705134814596981","1.98925275310034","3.29739107105996","1.00584078437436","0.19112636453267","0.213463489042601","0.174634507051393"
"acc-lambda","1.03517859296849","2.08171286534143","3.17787483821223","0.934612279959738","0.13202771560449","0.112767205005931","0.116206099475214"
"acc-lambda-w","1.03507057695065","2.12643014389345","3.20366416552137","0.936788090684509","0.130322460824014","0.109034269176918","0.117659992391599"
"macc","1.02819575165698","2.05082507717109","3.18982002557989","0.935410152053326","0.132082659948678","0.120629024198775","0.119943140707579"
"macc-eta1","0.982393395493456","1.99437890418277","3.20788171378432","0.941305649507342","0.145003373860571","0.149678845104756","0.125689835740253"
"macc-w","0.788018128989154","1.96883869547285","3.21830494357363","0.974487420653577","0.181607119941726","0.212734575666094","0.168123706562154"
"macc-eta1-w","0.705134814596981","1.98925275310034","3.29739107105996","1.00584078437436","0.19112636453267","0.213463489042601","0.174634507051393"
"macc-lambda","1.02821182534915","2.07740663330931","3.17851821054529","0.934713839116283","0.131207970050708","0.112661998474131","0.115606667724602"
"macc-lambda-w","1.03811770247329","2.14174889850221","3.18998576559707","0.937111519396117","0.131487079594911","0.105907487014622","0.115808284983389"
"aipw","1.08009967673242","2.04053405668731","3.23124795209702","0.939808273543942","0.139885968427212","0.132328689003694","0.130503869111574"
"aipw-eta1","1.0677307497427","2.00241579007213","3.23172841201404","0.942042311530048","0.150645115428676","0.146015370166483","0.132671556154562"
"aipw-w","0.749078405179953","1.90748915101698","3.1532836555255","0.989733060140675","0.149201008935772","0.18567382668471","0.132261424865467"
"aipw-eta1-w","0.836574883829502","1.93284397542345","3.1586688389755","0.964913476777588","0.144768906433544","0.163817179681442","0.127826096488499"
"aipw-lambda","1.10038861765068","2.08696789483043","3.22729660469318","0.939207823742031","0.138319392975773","0.110727717526814","0.126039885971491"
"aipw-lambda-w","1.05941997640842","2.11633885692459","3.06442536533599","0.942540221081106","0.107102438617958","0.0935780476673047","0.0931425562225191"
"mle","1.0146572603626","2.05853062092498","3.16513532376414","0.903930293285173","0.116723194768629","0.103270227690594","0.0899292332851665"
"mle-w","-0.00109297156997524","1.74069245174864","2.94373424665837","1.89376900092332","0.464205507259703","0.280811905931511","0.381897752659418"
