"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.948626405286389","1.89263991538184","3.00292251058744","1.00075876878371","0.100871642039098","0.105003113557437","0.0604724451854848"
"naive","-0.523407711711629","1.08457595997808","1.5492169820543","3.5855167006778","0.304661281550327","0.31452478980787","0.277971539392381"
"cc","0.985224628003597","1.94442459179167","3.08087382297458","1.09640599377204","0.150017193121863","0.169269483121893","0.0950988573999383"
"ipw","1.00793017460811","1.94059288519542","3.07667639303542","1.09664395572602","0.147986484495636","0.172294155711865","0.0963072794854908"
"ipw-w","1.20379235433149","1.94524750672572","2.98791878964373","1.12275579372399","0.187882753274377","0.168006855812829","0.100096959516884"
"ipw-yz","0.890335162218455","1.95130053307738","3.07296015930582","1.10085203333232","0.144147159308746","0.16883199735191","0.0948322828782843"
"acc","0.944021468859702","1.94283559578656","3.07333130149007","1.09730025425228","0.149041290668918","0.161746868381016","0.0904747206648886"
"acc-eta1","0.832266096178505","1.91643273520261","3.11445069640457","1.10758425755653","0.161492013540124","0.169665588559309","0.091151311799138"
"acc-w","0.650234967198968","1.8934012649088","2.95449217195093","1.16810093400521","0.206995235528926","0.225212855799816","0.190526291383798"
"acc-eta1-w","0.277897401479979","1.85454762834538","2.95122809208736","1.32980803631052","0.30012385111012","0.286781693797157","0.27782587591305"
"acc-lambda","0.935858521587835","1.94546169992182","3.07871659003264","1.09755225381889","0.147485592265121","0.16144320435226","0.0890815037439024"
"acc-lambda-w","0.86118093240131","1.97640364684026","3.07095381404632","1.10476687991992","0.147496500177543","0.159047427591649","0.0916102323505266"
"macc","0.930083779050042","1.95163928005903","3.08316415673261","1.09781847299332","0.145490176190477","0.163147886787031","0.0886122222252728"
"macc-eta1","0.824638916801173","1.90889765614156","3.11429247711888","1.10881998340202","0.159273524985586","0.173148536432803","0.088321040642188"
"macc-w","0.373411475618723","1.79415775585195","2.81633527773473","1.33314442081451","0.294756421289437","0.302041090720516","0.336123241873872"
"macc-eta1-w","0.277897401479979","1.85454762834538","2.95122809208736","1.32980803631052","0.30012385111012","0.286781693797157","0.27782587591305"
"macc-lambda","0.934196210897526","1.92863613395487","3.07908163989507","1.09763655301755","0.147835594806074","0.163894249311593","0.0867834747005061"
"macc-lambda-w","0.849864674372765","1.97074154929707","3.09138966941582","1.10499689749629","0.147614433753254","0.1645554721334","0.0935943136037229"
"aipw","0.897330741737742","1.93274457266317","3.10359334469274","1.10015450390876","0.14474857759615","0.163858739382818","0.0872940362030668"
"aipw-eta1","0.88250559762648","1.90082319030596","3.08241644242998","1.1016360063121","0.15322825407496","0.171506802382588","0.0854601770307752"
"aipw-w","0.413390322008557","1.99525870766156","3.01988391321439","1.25196782697219","0.220771120403012","0.187629769357487","0.132105990150593"
"aipw-eta1-w","0.694501372194889","1.97528088706803","2.99316388732676","1.15054352814025","0.224782868320825","0.214710196487659","0.126613687442956"
"aipw-lambda","0.957882613238829","1.92544196029752","3.07351909760223","1.09688176885239","0.146006822379006","0.166929213570695","0.0861144699716837"
"aipw-lambda-w","0.937084756782667","2.02521047854345","3.00739899428486","1.11067731968879","0.182881506068051","0.168944915713774","0.0992611868623374"
"mle","0.923960987861543","1.90528336346771","3.08165530724393","1.06584735439256","0.130216850450574","0.140256685935492","0.0810664576050046"
"mle-w","-0.025120500723763","1.58271223115265","2.92067178794178","1.93014209902761","0.333481041534039","0.243791071645521","0.230461284182631"
