"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.0529974462813","1.96824526443977","2.99003012107711","0.882045158622095","0.0882014667752441","0.0974994323319327","0.065066536537285"
"naive","-0.371987545256576","1.23087166670637","1.94135102244631","2.78950865327874","0.259552371606563","0.363056000727318","0.219067566749886"
"cc","0.958790672186398","1.99945809149838","2.96132085661149","0.826547406967085","0.121699879105502","0.129042318391673","0.0809367495698638"
"ipw","0.939111224648384","1.98987235454001","2.92322860734322","0.828985080882198","0.1256443251859","0.133427967882515","0.0834118341269287"
"ipw-w","0.985393770807963","2.0600800241618","2.98798892300753","0.829331553019777","0.116360289413248","0.117464657206787","0.0693942609225723"
"ipw-yz","0.860439883687373","2.01349240404351","2.94020339115772","0.833756900856292","0.129332639187736","0.132375916331277","0.0887728860681329"
"acc","0.95980473670157","1.97324672740427","2.95359468718544","0.826883733946301","0.197746949355477","0.000701120642904015","0.0990792508459393"
"acc-eta1","0.919146518125196","1.96507476382601","2.96761961807865","0.82839994246756","0.125534909712761","0.129810409487996","0.105427382726423"
"acc-w","0.843196150895704","1.89653568215129","2.9300343353927","0.841576074738681","0.12504564784702","0.14778859945789","0.094971608807977"
"acc-eta1-w","0.695140944939865","1.79962215851858","2.94572318384696","0.891681717625641","0.137287929384862","0.16992003385212","0.121141094227903"
"acc-lambda","0.960833794979532","1.96539869546643","2.95483788581339","0.827105534258567","0.116241626115051","0.125742265040042","0.0792639589611528"
"acc-lambda-w","0.891709593114934","1.99482325185632","2.94313180745706","0.830046828573687","0.115295285993712","0.12208119183071","0.0803059948894161"
"macc","0.971500089247346","1.96905497252688","2.96307348154902","0.827175060185948","0.120248978137983","0.125038023594038","0.088391901704328"
"macc-eta1","0.92621259291716","1.97171131419338","2.95174008754188","0.8277289387469","0.131051511117376","0.126773149566913","0.120662515380319"
"macc-w","0.77354474543144","1.80283553918888","2.91427893711309","0.869946226707936","0.133203264469993","0.166364678736304","0.108516147197393"
"macc-eta1-w","0.695140944939865","1.79962215851858","2.94572318384696","0.891681717625641","0.137287929384862","0.16992003385212","0.121141094227903"
"macc-lambda","0.933539303231762","1.9861243315588","2.96351299093782","0.827070677691746","0.112850628627865","0.123598680454663","0.0736697287232089"
"macc-lambda-w","0.901692146440781","1.98978932289251","2.93778104354059","0.829631685981245","0.116099908849442","0.124136637237277","0.0799228534105576"
"aipw","0.944251706232195","1.94575790900001","2.9298546979556","0.828838981463238","0.125605046263161","0.130821392612575","0.102476126681456"
"aipw-eta1","0.908361054401799","1.95708378761124","2.90459271231281","0.833223172878621","0.12248037093686","0.126739577364718","0.111598011638782"
"aipw-w","0.769707782416491","1.90715720297723","2.97854126603543","0.854478121352681","0.116969687838984","0.124555152518381","0.0856712387064675"
"aipw-eta1-w","0.817098296777587","1.97534001559803","2.97908689067269","0.839313900914282","0.109796438013266","0.128619168804585","0.0826320065297264"
"aipw-lambda","0.906688876878443","1.96712002870179","2.92687636525372","0.830402064546752","0.114812697053597","0.124636622300215","0.0690214200577003"
"aipw-lambda-w","0.920799173595847","2.04240348971789","2.95709427979029","0.828505691955494","0.106145968856389","0.109990874206419","0.0684264079471971"
"mle","0.997735564981182","1.90143892165741","2.97229255150736","0.842534721749669","0.112534971375672","0.126425472117312","0.0763080417241569"
"mle-w","0.160417434584782","1.49721255042131","2.81570865443239","1.68694601946624","0.27047742943818","0.363594823692426","0.2112526016532"
