"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.93643093275157","2.04869824076411","2.96846992919482","0.963765226546948","0.0560511204406654","0.055705406580459","0.0434478664526854"
"naive","-0.37271317392146","1.49369723810074","1.76097542246193","2.79369372301216","0.147907217171449","0.182734725508824","0.135091671710963"
"cc","0.88203323880256","2.07141590408752","2.98460683441724","0.978991735713647","0.0793502098619963","0.0736243366403662","0.0520249485397085"
"ipw","0.875800565202457","2.07854496452068","2.98811978784871","0.979028925630576","0.0800045528645824","0.0730648588792797","0.0513884614258278"
"ipw-w","0.802215704334099","2.15154855534663","2.98402498578429","0.984505142670151","0.0838746131261908","0.0593130276419977","0.058049956540773"
"ipw-yz","0.81296484286919","2.07482923815596","2.99218545853665","0.981392493398539","0.0812026380120191","0.0754190362885524","0.0533809179525896"
"acc","0.87123511833738","2.06671867324991","2.95176327849719","0.980144683206111","0.0761070223207743","0.0722735293828498","0.0509701317353072"
"acc-eta1","0.884122552998555","2.06628123374029","2.91407338172681","0.983945870209063","0.0806592758451291","0.077570915254275","0.0578286177444151"
"acc-w","0.817867726246047","1.99647798535592","2.95977483618146","0.984452117152306","0.0869765801133373","0.0904818410642113","0.0593182806002198"
"acc-eta1-w","0.757283282557339","1.94937804938364","2.94988603108373","0.995992515277723","0.109690540272324","0.126070586049749","0.0792178206354339"
"acc-lambda","0.856630530493249","2.08437084541041","2.94352742976946","0.981453306305256","0.0760974820085305","0.0720232109921925","0.0510941640542438"
"acc-lambda-w","0.830276957982348","2.07712584845691","2.9709641648811","0.980630817752042","0.0781369386532838","0.0730001453926204","0.0512934263329892"
"macc","0.866180455065699","2.06581245205584","2.95104263490724","0.980274219354412","0.0760033395712052","0.0715842946288896","0.0511825298585818"
"macc-eta1","0.884850041347811","2.06750805969992","2.91456555290611","0.98390811419855","0.0811997850261855","0.0775121797827568","0.0589119841097387"
"macc-w","0.768598807854767","1.98377332995605","2.94954854239588","0.990913372038622","0.0887068844265733","0.0955584639578646","0.0610824226278307"
"macc-eta1-w","0.757283282557339","1.94937804938364","2.94988603108373","0.995992515277723","0.109690540272324","0.126070586049749","0.0792178206354339"
"macc-lambda","0.873054061721805","2.08173472513219","2.95580184545186","0.980095798075335","0.0765362768866837","0.0722764674278041","0.05139702530527"
"macc-lambda-w","0.864668017109931","2.05851900209325","2.98610367848574","0.979269061600837","0.0796042028881773","0.0737248380075389","0.0521322878471255"
"aipw","0.857099741313037","2.07475457443204","2.93695128177334","0.981837679656046","0.0762476419161417","0.0733399196839634","0.0522155328603439"
"aipw-eta1","0.867098183821804","2.07854511124025","2.9354100093544","0.981851207416104","0.0775433637385624","0.0752302441409999","0.0530312882543326"
"aipw-w","0.635030302389848","2.08334892058594","2.97472738979677","1.00971201849637","0.100378676474486","0.0756815104138754","0.0641454944963672"
"aipw-eta1-w","0.704507662786212","2.08932154612851","2.97715349381666","0.994909316281689","0.0990321191986404","0.0759797185389061","0.0638815537860878"
"aipw-lambda","0.868794267950543","2.09056245748458","2.96248619954528","0.979961344940704","0.0763751087490402","0.0715757607093693","0.0503075141598965"
"aipw-lambda-w","0.781689412745051","2.12995573335003","2.99380936746457","0.984702583629772","0.0837766404207143","0.0591863004835761","0.0571895695487462"
"mle","0.88888030443862","2.04338738535004","2.9370090692047","0.972452071888795","0.0714215660280987","0.0701468535736339","0.0500397369393221"
"mle-w","0.117247085590259","1.77207769437837","2.68547750011886","1.70168897236747","0.146963644698596","0.15472531998327","0.1433284654158"
