"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.869898496512542","2.05995967820939","2.97531413642954","0.893659145901781","0.0517185590821842","0.0540177063682165","0.0394317358351206"
"naive","-0.656705071587644","1.46825490806652","1.78013846013466","3.04768528592041","0.155693438065256","0.183986807312215","0.126858942630757"
"cc","0.900493518077999","2.04373124636857","2.91043508763254","0.9440193063995","0.0800777809331446","0.0765936846970301","0.0579550745492757"
"ipw","0.902217712374849","2.04439359387381","2.89165952695958","0.944430200016058","0.0826085759452157","0.0789126670819829","0.0556421338707887"
"ipw-w","0.895133068361","2.10950687588028","3.04849897048414","0.963482622047596","0.105815859079925","0.119985302167519","0.0998268083466326"
"ipw-yz","0.838548994837352","2.04727681363123","2.90204190607933","0.946158013365307","0.0845158001026982","0.0810038967945632","0.0571484646924886"
"acc","0.934544604124092","2.04416946680003","2.92186491375053","0.944774986753381","0.0774294274187213","0.0733011498311087","0.0554627017588575"
"acc-eta1","0.965379447911866","2.05467304200132","2.92880379076904","0.946546934191684","0.0842863554577069","0.0813190411414117","0.0657399581805354"
"acc-w","0.858711961664286","1.98088361743674","2.87140036700881","0.947514789018924","0.0844896097952987","0.089590253732253","0.0732600413550845"
"acc-eta1-w","0.82263849230533","1.94013309920039","2.84337936573506","0.954383012261516","0.113583880016609","0.147173949195146","0.126328821789856"
"acc-lambda","0.930976318679869","2.05218534896734","2.92210638076951","0.944639894534414","0.0776900136040154","0.0728007430714248","0.0551611087004873"
"acc-lambda-w","0.883456691015184","2.04466088994324","2.91205034611245","0.944176866827547","0.0765162640205086","0.0702697517101727","0.0525433880603849"
"macc","0.944822769812459","2.05695801643108","2.92920518654227","0.94539491744779","0.0784676915284997","0.0732859622720874","0.0560440666882577"
"macc-eta1","0.973380536735211","2.05862683517455","2.92046366789588","0.946928048056295","0.0875389859357245","0.0840138555354271","0.0693162541640988"
"macc-w","0.814151876170362","1.97906054026697","2.86324334766006","0.950968511621723","0.0894631192719232","0.0987594684887585","0.082856175843908"
"macc-eta1-w","0.82263849230533","1.94013309920039","2.84337936573506","0.954383012261516","0.113583880016609","0.147173949195146","0.126328821789856"
"macc-lambda","0.92484491734846","2.05320119078023","2.92458074233373","0.944528847433858","0.0781652107274088","0.0736990491139024","0.055415635401315"
"macc-lambda-w","0.881845527495171","2.02110451489405","2.89329587918764","0.944606497209287","0.076053473910451","0.0675366504949084","0.0506529292112351"
"aipw","0.983128023134635","2.07889462523796","2.92150972385449","0.948105901343833","0.0840904515031588","0.0793019715984461","0.058757809452708"
"aipw-eta1","0.971750838079755","2.05997253984277","2.90576550688492","0.946858982556518","0.0849264236628218","0.0819294362836691","0.0596891240599312"
"aipw-w","0.765123330920966","2.06455145681554","3.03135044643427","0.969375666182412","0.0978105569326388","0.0941455998872844","0.076313286288298"
"aipw-eta1-w","0.836613639630105","2.055213884483","3.02883192366408","0.961532352849392","0.0955480024541139","0.0926422577253786","0.0772021256799136"
"aipw-lambda","0.928916968999185","2.05145490809368","2.90601623631154","0.944510072436286","0.0803089560431132","0.0755075258695121","0.0526877747329054"
"aipw-lambda-w","0.857637714928156","2.06620300432799","3.0077171261705","0.955010756917198","0.0901134732064969","0.0873084481003825","0.0701918055611401"
"mle","0.909208558639031","2.06115332346535","2.97914474770774","0.962936085082741","0.0726962692426506","0.0711295431204201","0.0527052057433427"
"mle-w","-0.0709734638326458","1.6924823010598","2.6664366977256","1.85581969006611","0.155239693473045","0.137936243072998","0.113527229997861"
