"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.969003918006417","2.01905442266719","3.03983750771229","1.02353639926524","0.0592060360067303","0.070819503965347","0.0435749807550708"
"naive","-0.64313331430039","1.17376440206556","1.94178248922162","3.06922116635088","0.163530917831882","0.175395258281364","0.120729442838161"
"cc","0.912996333598327","2.24268782814515","3.10446273311361","1.00958327781151","0.0882217979780709","0.101123475928475","0.0708605272657626"
"ipw","0.930368364913229","2.23747962310857","3.09738835760221","1.0097478695908","0.0863623973302942","0.098358939426199","0.0651491148202266"
"ipw-w","0.98837012399538","2.24304550748646","3.07234322982718","1.0128057783903","0.10420498406818","0.0954978252995934","0.081281412179984"
"ipw-yz","0.865589686440088","2.22712319486628","3.09842556933859","1.01078378966344","0.0856018208954221","0.0967932718045507","0.0642373480718653"
"acc","0.912993630419239","2.25333123655949","3.12523742744772","1.00993817649976","0.086736851316936","0.0991331681284242","0.0671567402975729"
"acc-eta1","0.90272902185245","2.26789499538729","3.15402108156752","1.01154142482972","0.094278907962359","0.106890423027041","0.0735150131266871"
"acc-w","0.793948456258496","2.23931088611692","3.11621209935915","1.01633187329547","0.102614032988069","0.115082416689965","0.0868080687371118"
"acc-eta1-w","0.689178428628124","2.25990485939748","3.16474982555387","1.0340166628152","0.133638788912825","0.145716479062627","0.113381752959849"
"acc-lambda","0.91972115497217","2.24764692916859","3.12087809500035","1.0098707441449","0.0862334722984655","0.0987911630191126","0.0665295179778042"
"acc-lambda-w","0.880308289328189","2.23716360071443","3.11182415530863","1.01012442251938","0.0862159304214613","0.0986748498805729","0.0669250559309913"
"macc","0.929100750802029","2.25476638422972","3.11874075855225","1.00991936870926","0.0862829625002841","0.0973363085497325","0.0662573343381261"
"macc-eta1","0.905482881516981","2.26269305145836","3.15074933012878","1.01133183808485","0.0944741498698503","0.10656881123354","0.0734668571979047"
"macc-w","0.751102938272633","2.24268083611951","3.08792086369469","1.02348411930017","0.106212114092269","0.116232808205691","0.0935733193433848"
"macc-eta1-w","0.689178428628124","2.25990485939748","3.16474982555387","1.0340166628152","0.133638788912825","0.145716479062627","0.113381752959849"
"macc-lambda","0.914745782128361","2.2482225270004","3.12328407181277","1.00990699071994","0.0864951606986559","0.099052820853215","0.0673937542952305"
"macc-lambda-w","0.878071120205121","2.23993572909763","3.1258894642619","1.01049075496978","0.0874679184643683","0.101816068040149","0.0686138372066445"
"aipw","0.954514053586857","2.25556182857236","3.12156989927813","1.01081237305593","0.0872711577155277","0.0983005868242176","0.0632003175753537"
"aipw-eta1","0.930287141066819","2.25176725474003","3.13164767967437","1.01048873630664","0.0890108680674098","0.101324658293349","0.0653549024480058"
"aipw-w","0.751240317713943","2.28535419203789","3.12811026273692","1.02279251670318","0.118371047200173","0.116217860648703","0.0748534969954538"
"aipw-eta1-w","0.807801796295831","2.26867901873016","3.15254364347959","1.01581550124925","0.120001600394811","0.121637653102494","0.0755242098885624"
"aipw-lambda","0.930543419541612","2.24348068581808","3.11431063691659","1.00987758732582","0.0846095288287899","0.0961907929850339","0.0620468484230969"
"aipw-lambda-w","0.908721906897843","2.24961984855546","3.13078705696256","1.01018741798774","0.102338485521655","0.0966514080225972","0.0706160645211542"
"mle","0.975263533981998","2.15184102170693","3.10581710229136","1.07599233594141","0.0814421900783553","0.0918015773489435","0.0634266459604887"
"mle-w","-0.0562423337648838","1.63769238792517","2.85806989810279","1.94674151630621","0.160671610182725","0.15996135303208","0.116567612969711"
