"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.98352894496803","1.81758748318169","2.92594767153098","1.03948887872585","0.0602723541730726","0.0618192956393325","0.046003562716357"
"naive","-0.400861726619301","1.29883600392925","1.51257198296388","2.91825566974924","0.15431781719631","0.15011847455519","0.119975395920451"
"cc","0.990766254375606","1.92921810481262","3.05029195845665","0.97480123375926","0.0801203590933093","0.0853570470910556","0.0553805825267349"
"ipw","0.973106621941358","1.93749393425156","3.0690798368877","0.975218954977524","0.0795567715491794","0.0811600136718496","0.0558104348196752"
"ipw-w","1.05267915021561","1.91781505172152","2.98796496646778","0.979782461986441","0.0918105171577277","0.0847000961070645","0.0661755407723758"
"ipw-yz","0.915198666549405","1.93520908573308","3.07312336032855","0.9780704820626","0.0803406867788712","0.0817266504723213","0.0561660347020754"
"acc","0.998420595127082","1.9252039918649","3.03090748249864","0.975130806136591","0.0759531372150606","0.0822425322189001","0.0531795276521254"
"acc-eta1","1.02291590998433","1.93248220929516","3.02228807725269","0.976055328157693","0.0781033934216296","0.0871321229692681","0.0581997719899893"
"acc-w","0.89075365368875","1.96156149270888","3.03621662851708","0.981227355190369","0.086230068079565","0.089723920757031","0.0634826276942167"
"acc-eta1-w","0.78626745012447","2.00093983119482","3.04880280217689","0.999785620661017","0.102540118865629","0.101494748990723","0.0855636625909081"
"acc-lambda","1.00496915934603","1.92452470226918","3.02993529179034","0.975226475663363","0.0758445435885084","0.0824730601105683","0.0530191339550784"
"acc-lambda-w","0.940339561285037","1.93320375244483","3.04981673601623","0.976127728051278","0.0779834834246244","0.0833412500825657","0.0541512710715273"
"macc","0.995322577060473","1.92714251057736","3.03574175138287","0.974986732828049","0.0758351434254687","0.0818424553013695","0.0533803770919607"
"macc-eta1","1.01679207163619","1.93233942994829","3.02861028224793","0.975590165789242","0.0779476783123392","0.0860962367493419","0.057928320006622"
"macc-w","0.842051232291422","1.9562139532672","3.02392578343259","0.987984408475121","0.0880531448485105","0.0906090030182279","0.0673476227391632"
"macc-eta1-w","0.78626745012447","2.00093983119482","3.04880280217689","0.999785620661017","0.102540118865629","0.101494748990723","0.0855636625909081"
"macc-lambda","1.00850230005422","1.93293241230129","3.03897707791678","0.975098563880134","0.0756973015000001","0.0826128551545471","0.0532653640206515"
"macc-lambda-w","0.948587322002352","1.94363460480711","3.06579311512485","0.97591450069683","0.0799749534667768","0.0853539532526832","0.0551793223499579"
"aipw","0.991650884562534","1.94638530834407","3.06100046870053","0.97496294054914","0.0744237696504665","0.0781014580547034","0.0554569195576938"
"aipw-eta1","0.993852150462586","1.94330116323476","3.05716628667226","0.9749025983071","0.0748097799122497","0.0782221582279306","0.0554917629885509"
"aipw-w","0.821420205784536","1.99349586505736","3.00655841816123","0.996124730083607","0.104262350350029","0.0964525328675839","0.0747370207407925"
"aipw-eta1-w","0.891202681032123","1.99517370014477","3.00508324978525","0.986607534834731","0.102770278053963","0.0941659044167091","0.072865504719853"
"aipw-lambda","0.993067324684941","1.94269833644721","3.05869721583837","0.974902904350372","0.0740688852350784","0.0771059891419548","0.0531785716609455"
"aipw-lambda-w","0.998487200387652","1.94677016815785","3.01829957526444","0.976265088137325","0.0922471026796625","0.0838701634833391","0.0652557195622784"
"mle","0.972171205548687","1.90948963106925","3.02569269048636","0.983505484247846","0.0732822922001001","0.0744499690951716","0.0541619027242708"
"mle-w","0.0261158098443002","1.54544789367034","2.58612136490421","1.81557829090664","0.144327094683038","0.120232784557869","0.141923788832486"
