"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.986532347663854","1.91988485742887","2.9750110538242","1.0601006291722","0.0613518411062044","0.0744426426837775","0.0437077736599166"
"naive","-0.338420265603962","1.46529158484396","1.55829030525533","3.14107752589917","0.180228545297255","0.184406117691062","0.131650787306968"
"cc","1.14240717661719","1.86918605685619","2.92612419901327","1.00732096797491","0.0866905425494687","0.0997819405916307","0.0610658698083382"
"ipw","1.14438478459157","1.87625388711571","2.93069094398022","1.0073522565873","0.0888151133775491","0.105784236035832","0.0636086216683851"
"ipw-w","1.09292460576116","1.84067778074176","2.93261200313293","1.00915517874309","0.113882765258904","0.149106097754368","0.0773662221406208"
"ipw-yz","1.07445981755525","1.88453133404402","2.94075072038331","1.00957091578107","0.0913879802025078","0.10593990147972","0.0659989148605344"
"acc","1.11172504529163","1.91788042110952","2.94460231445264","1.00858248114323","0.0824770652478574","0.0998463525594865","0.0572305503291174"
"acc-eta1","1.06837119012081","1.96810384711887","2.9726871359169","1.01326684162721","0.0842991371822514","0.105046065895056","0.0595416211484822"
"acc-w","1.04716632055956","1.93711800460421","2.96274632127298","1.01294164285887","0.0909369806213618","0.112866866506742","0.0636523787751835"
"acc-eta1-w","0.935113367938286","2.03078492536929","3.00643215957718","1.03493279446282","0.112555504462589","0.141988381372819","0.0832117989335909"
"acc-lambda","1.10660904634056","1.89528894579991","2.93919487021303","1.00812163174235","0.081588372284066","0.0985477899421007","0.0566939828185249"
"acc-lambda-w","1.06841948501434","1.90048959547443","2.94738526325959","1.010155996621","0.0825107495906723","0.0988182200341633","0.0571177481532254"
"macc","1.11804961475931","1.91103552136635","2.94157048763036","1.00821271048014","0.0826795056836613","0.0992746439603257","0.0576025959435"
"macc-eta1","1.06416235895994","1.97925822493806","2.97822041284783","1.0144261859004","0.0852015542889289","0.106547477756294","0.0598197961641016"
"macc-w","0.995687947692445","1.9199589013718","2.93814912299027","1.01818584770322","0.092977430142713","0.112453956726786","0.064463993412604"
"macc-eta1-w","0.935113367938286","2.03078492536929","3.00643215957718","1.03493279446282","0.112555504462589","0.141988381372819","0.0832117989335909"
"macc-lambda","1.09021381842041","1.90106349408254","2.94816428121524","1.00894121639677","0.0817106988557606","0.0991269430979072","0.0566774639701464"
"macc-lambda-w","1.07490074835205","1.91607797224924","2.95632510795669","1.01018922539458","0.0847460591111","0.101249080564972","0.058219323653404"
"aipw","1.0947605406431","1.94768950449054","2.95857224788577","1.01054894917343","0.0844097057928381","0.107671063685115","0.0586954422613693"
"aipw-eta1","1.07928286816689","1.97210906798907","2.9690259717914","1.01289933033068","0.0857909379079174","0.111416821868239","0.0592712164340578"
"aipw-w","0.825837696126603","1.96655261524121","3.01730611250386","1.05671481024105","0.127413249476933","0.176639027191178","0.0794929603088993"
"aipw-eta1-w","0.905840868322602","1.99338024220899","3.04175089426853","1.04058373084768","0.126859865769461","0.184010294783135","0.0823207326392802"
"aipw-lambda","1.08509683439024","1.90761520363627","2.95474516416994","1.00942911992036","0.0831252343188751","0.10535957818914","0.0582015521585037"
"aipw-lambda-w","1.00408062341432","1.89400823362683","2.98215540643597","1.01791290515788","0.112820531243236","0.155637009703157","0.0720311883857037"
"mle","1.08604153898353","1.95037516981248","2.95924671169119","0.998941418467631","0.0766981204552849","0.0885145227579563","0.053150805725211"
"mle-w","0.0915439514276106","1.78400195052979","2.7074485031589","1.89215612470538","0.157660312029484","0.126017442911801","0.116871374439271"
