"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.985366686466721","2.05230443004049","3.00951511743754","1.0119932724816","0.0580296345034864","0.0599201071644507","0.0411708693072815"
"naive","-0.296472837652423","1.63537965351093","1.97873343509927","2.88256303538092","0.141090577855411","0.162903969422955","0.128671262244481"
"cc","0.912665853173872","2.00102700944605","2.92625737870463","1.00724952393191","0.0800822636061508","0.0740040366964456","0.0544645610329106"
"ipw","0.900208180218588","2.00437780537583","2.92140997052639","1.0073786033607","0.0815801413206897","0.0743736961531961","0.0546533791939315"
"ipw-w","0.903566949862342","1.99782685085","2.95686112151141","1.00827051345843","0.120372073655771","0.123471232249377","0.0854783791262398"
"ipw-yz","0.835297684347821","2.00014765771112","2.92002949213615","1.01037627170033","0.0834563287097559","0.075052566631364","0.0547990712730431"
"acc","0.919130464082519","1.9977268448701","2.94268288389268","1.00761508741056","0.0769312485313188","0.0728638415248081","0.0524420221801809"
"acc-eta1","0.926842727300764","1.98245486210849","2.95080407883019","1.00848846230897","0.0814860479435468","0.0786281344878044","0.0569016507467199"
"acc-w","0.783455022170534","1.99702430719723","2.96000095198616","1.01574747295607","0.0800319226078703","0.0793227806612745","0.0586499105031649"
"acc-eta1-w","0.653312469737228","1.97031620572979","2.996639578665","1.04292019651263","0.105756343323188","0.102071035663555","0.077127457091015"
"acc-lambda","0.921553175748439","1.99604939995057","2.94080281796021","1.00759390482597","0.077055837455279","0.0724124057470615","0.0523799403416772"
"acc-lambda-w","0.84420953777032","1.9964105287336","2.93829568726304","1.00958454787489","0.0760184074747119","0.0725481979820151","0.0526739825576566"
"macc","0.91564794928742","1.99276556489143","2.93920647624362","1.00753399353141","0.0779982858669773","0.0714989411349709","0.0524314500391553"
"macc-eta1","0.925207303640725","1.9818508351177","2.94606998072934","1.00819287702336","0.0822548423595834","0.0787520273931714","0.0574513435746931"
"macc-w","0.70632606760865","1.96025521804072","2.94603392378441","1.02937440635211","0.0834656483368669","0.0842953741109846","0.0611534354089797"
"macc-eta1-w","0.653312469737228","1.97031620572979","2.996639578665","1.04292019651263","0.105756343323188","0.102071035663555","0.077127457091015"
"macc-lambda","0.924382297662572","1.99371477450891","2.93759282420411","1.00755475215488","0.0769920582826371","0.0725114826707701","0.0524615849681323"
"macc-lambda-w","0.831229955673474","1.99620507556863","2.94488502070302","1.01061519641622","0.0752005478987077","0.0722525458716274","0.0531754813944833"
"aipw","0.907393828169726","1.97948666289607","2.9359746539351","1.007718974454","0.0797012471304037","0.0769746577358996","0.0532163188013843"
"aipw-eta1","0.913470522284805","1.98819736101828","2.93951019367001","1.0076182576551","0.0800733310236779","0.0774938208438033","0.0540580493762274"
"aipw-w","0.510734869079688","1.99315393111666","3.09278279879785","1.09721400206696","0.113046113746873","0.128158717194094","0.0836877888910092"
"aipw-eta1-w","0.650966412824716","2.03408886830409","3.08854222040252","1.05461559294569","0.107013991968961","0.124036129909091","0.0852668007627412"
"aipw-lambda","0.912378963549605","1.99740494214636","2.93572837366088","1.00736942023014","0.0780889767523827","0.0729464471452673","0.0521872309498357"
"aipw-lambda-w","0.740763337233643","2.00119613535344","3.04151121682051","1.03078447645179","0.10362085426813","0.118984628212516","0.0809190228367618"
"mle","0.949675077699016","2.00777395760365","2.96941578054411","1.00646663324289","0.0719353991974882","0.0683655163406893","0.0478200050205277"
"mle-w","0.31044369031729","1.8941168404394","2.95235727693018","1.41718967775605","0.121837689835063","0.0950221289213327","0.0698228972235312"
