"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.03485761128871","1.98662556156754","2.90738242951114","1.0062242100654","0.0581190021137062","0.060387827340708","0.045209370643406"
"naive","-0.348689702180784","1.60544034395056","1.61782318322137","3.04883518908296","0.159927214344188","0.192451861661024","0.130219801851649"
"cc","1.08591728767222","2.00601040096147","2.86446747517388","0.983861665478154","0.0893967099339658","0.085175429465486","0.0603373135325678"
"ipw","1.08647944900689","2.0097929948921","2.85142350924687","0.984064114810573","0.0971541923218673","0.0872933239609201","0.0652559236669946"
"ipw-w","1.12911256465223","1.99101727249631","2.84526747542247","0.984830954691591","0.132842579308964","0.101203659748676","0.0902552265135685"
"ipw-yz","0.950744968942927","2.03612365873839","2.87338241885142","0.992597620239341","0.104855083050915","0.0910080159450517","0.0699194255949246"
"acc","1.08540615442115","2.00739205961392","2.87450173587106","0.983958691999667","0.0836086648046774","0.0835366839058488","0.0575583753863723"
"acc-eta1","1.07063036261421","2.00420999160406","2.90321573682914","0.985379311116041","0.0910437916549163","0.0891828524261905","0.0624395657096505"
"acc-w","0.873860218346854","2.05071859729998","2.77530313176892","1.02147963792843","0.106886870419606","0.113818613324274","0.0868162393037079"
"acc-eta1-w","0.697178060810697","2.03687289958759","2.74135759295249","1.08621421848674","0.133919429859999","0.149952974209177","0.13075077176455"
"acc-lambda","1.09891716138971","1.99542927520091","2.85997896915504","0.98396720164305","0.0837449861184369","0.0822343843589533","0.0575868711402166"
"acc-lambda-w","1.01245509305592","2.01748697143247","2.86159046318278","0.986638891034221","0.0828561491187415","0.0831948823499328","0.0568737680698711"
"macc","1.11752189217334","1.95930465287487","2.86525169151739","0.985296471924854","0.0854443356286446","0.0827350254722417","0.0596968453653768"
"macc-eta1","1.07257006573148","2.00735509489116","2.90482770346536","0.985437231575253","0.0968692302796929","0.0919387967462005","0.0662504049536075"
"macc-w","0.763440180748645","1.95537815686563","2.66097644731109","1.09262449695528","0.128501270957788","0.130397217938287","0.129826996748684"
"macc-eta1-w","0.697178060810697","2.03687289958759","2.74135759295249","1.08621421848674","0.133919429859999","0.149952974209177","0.13075077176455"
"macc-lambda","1.08461570625659","2.0131443689156","2.87243305529473","0.983924212666545","0.086435375137016","0.0836643676593372","0.058662346578982"
"macc-lambda-w","1.01888521388997","2.03839381205524","2.8682276290928","0.986257699710417","0.0841417907492727","0.0835760299152472","0.0573684589860697"
"aipw","1.12928276540013","1.91934366642554","2.85887064910862","0.987848190740036","0.0936061559101843","0.0855180852278339","0.0663202790237864"
"aipw-eta1","1.08476682624935","2.00773409668954","2.88283988138272","0.984190750687134","0.099018737316081","0.0920381762633243","0.0688326515875739"
"aipw-w","0.655913183444724","1.94371506362538","2.78478587939054","1.09244203113673","0.143908952563715","0.134347501580216","0.086304480207576"
"aipw-eta1-w","0.78865226893782","2.05821383650507","2.8273475829431","1.0324834255754","0.134850622391385","0.131258085701284","0.0830604119407105"
"aipw-lambda","1.08745623535701","2.01630589013532","2.85754906212693","0.983996301059807","0.0942888016502513","0.0861051273539209","0.0637391345182979"
"aipw-lambda-w","0.999434529352814","2.08600243096839","2.86870050540502","0.989694655730518","0.116939857313348","0.0881879581745289","0.078457003202681"
"mle","1.09072144580588","1.97865749393958","2.8653952606709","0.976999758968402","0.0758453419011813","0.0766587634906646","0.0528186482749277"
"mle-w","0.107210653825082","1.86117859164964","2.63817394135167","1.85727340208616","0.152401489716596","0.143493298818135","0.127839552515694"
