"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.03244298037729","1.95065342629797","3.02112690302002","1.01343725270544","0.0588102641666177","0.061833306340914","0.0466391518063695"
"naive","-0.224194676154318","1.089031521706","1.62633444311131","3.01329775174116","0.160460740830271","0.188558463656563","0.139741345985521"
"cc","1.07680386141389","1.99672784266384","3.02082988821884","0.89870256987586","0.0788966559105989","0.0791154466439053","0.0660389804443026"
"ipw","1.07104834891853","2.01681198075217","3.01004148453585","0.899264398110949","0.0830576248746677","0.0795808126293497","0.0703709143248245"
"ipw-w","1.01652893434618","2.04469705081689","3.08833633936821","0.903409241335899","0.0939174186957205","0.0827449243803829","0.0706944707550493"
"ipw-yz","0.968272189157698","2.01264105093404","3.03079457307165","0.905060590943113","0.0843305593019199","0.0783227459048036","0.0708023439514198"
"acc","1.08183060521665","1.98716528760572","3.00661541927045","0.898875881926957","0.0749638623112443","0.0763341314822428","0.0632121688284077"
"acc-eta1","1.11743383548368","1.97291267819067","2.97583571362513","0.900763631901908","0.0820087077112005","0.0847819674494586","0.0698927285217547"
"acc-w","0.976719344642125","2.00301510568238","2.99722341418577","0.906071558738873","0.0779045428167333","0.0818521399012286","0.0664198338123467"
"acc-eta1-w","0.912749571792094","2.01663134055799","2.99221301216439","0.917331843159338","0.0872038131396502","0.0918241772600027","0.0736882037653845"
"acc-lambda","1.08605411063788","1.98956384720895","3.00336391120732","0.898970125085114","0.075472999982337","0.0770210722719629","0.0637532692064087"
"acc-lambda-w","0.985761269880426","1.9962228163254","2.99191717665155","0.905353168209139","0.0736942819082855","0.0755018734575536","0.0622534610462155"
"macc","1.09533402219559","1.99597814591066","2.99893129797671","0.899239447716891","0.0761380519308749","0.0769308710499558","0.0641471104005603"
"macc-eta1","1.12753344869443","1.97011623695657","2.97246547862373","0.901322280366381","0.0885285085139064","0.0877594190311213","0.0735545960077742"
"macc-w","0.912219092593786","1.98056278616877","2.96145991841849","0.920957476067004","0.0817792688672103","0.0860479082521779","0.0694614630758514"
"macc-eta1-w","0.912749571792094","2.01663134055799","2.99221301216439","0.917331843159338","0.0872038131396502","0.0918241772600027","0.0736882037653845"
"macc-lambda","1.08720740017065","1.98982790112157","3.01179084769182","0.898804446371247","0.0776048465017508","0.0775524337414987","0.0649813868136796"
"macc-lambda-w","1.01540797291186","2.00398119330083","3.01244770343736","0.901208193526896","0.075130569046836","0.0774952413924528","0.06371076565316"
"aipw","1.11081762707111","2.01796170362355","2.96920787431927","0.902461233262162","0.0823233089022728","0.0791639504080737","0.0669392534278527"
"aipw-eta1","1.10320113291122","1.99913996068041","2.97733966361725","0.90075524651047","0.0862103247470747","0.0802424116945173","0.0686341004973452"
"aipw-w","0.773667631066648","2.06469611263205","3.05952499335149","0.947715382807033","0.0934586060937423","0.0939052240750173","0.0730020697669688"
"aipw-eta1-w","0.867489906164926","2.08055891886295","3.08088973425756","0.923456190329594","0.0879125033034909","0.088558190148332","0.0684984829521804"
"aipw-lambda","1.08274485736753","2.00177506269529","3.00100476368115","0.899186086500115","0.0819109253176724","0.0756922233425831","0.0675656165693089"
"aipw-lambda-w","0.916542548261493","2.05114093210885","3.08550079807257","0.913105292118592","0.0859558703031591","0.080088245522838","0.0660184641814478"
"mle","1.11551101341332","1.99354867820738","2.99894858303218","0.903617000173972","0.069381407215181","0.0704778374860928","0.0574536320550445"
"mle-w","0.153884642635654","1.54748300428318","2.74777961896734","1.80670704644364","0.150188662050684","0.170031046217333","0.161986070355619"
