"beta1.x","beta2.x","beta0.x","beta1.y","beta2.y","beta0.y","Method"
0.106848514117967,0.33816780871181,0.0488459717597177,0.0413871557220343,0.0371352147681697,0.0619196874783748,"acc-lambda-eta1"
0.129979251552996,0.181094320448742,0.168613705292583,0.0475449486894778,0.0355552078149573,0.0671778280688001,"acc-lambda-eta1"
0.233444807525384,0.24546271591611,-0.0797620827398685,0.0491961790788454,0.0373134784834207,0.0685209188083852,"acc-lambda-eta1"
0.208135514777157,0.203623297843708,0.0154962513101941,0.0428378783335167,0.0407113072026126,0.0624099160551428,"acc-lambda-eta1"
0.238328885338306,0.240571596346187,-0.0794012799957134,0.0419607963356471,0.0369507383187902,0.0652830661113972,"acc-lambda-eta1"
0.165748631430955,0.243652009836973,0.0322683846175634,0.0405735964189367,0.0363576890287908,0.0596260656926941,"acc-lambda-eta1"
0.159083203587398,0.176321499239017,-0.042178768413911,0.0440032215268529,0.0356643913021104,0.0689081427718622,"acc-lambda-eta1"
0.212835662154433,0.197446993770079,0.0338843453322268,0.0496550299320945,0.035183412864453,0.0725151907747558,"acc-lambda-eta1"
0.291774434121521,0.150340811055196,-0.115927528692914,0.0449957951939855,0.0397585248333219,0.066038623946062,"acc-lambda-eta1"
0.263571894336678,0.138362979712464,-0.010445375623863,0.0409064087810652,0.0364926258776232,0.0653135522347263,"acc-lambda-eta1"
0.198753006642329,0.209953735124554,-0.00519243079517362,0.0433878122302692,0.0334883315119764,0.0637294185998634,"acc-lambda-eta1"
0.172798445095511,0.135733843797339,0.0463290337872969,0.0469077500453867,0.0378774451138457,0.064525695627064,"acc-lambda-eta1"
0.178437794233457,0.158688275588651,0.092003032016585,0.0435984384759395,0.0318228751293753,0.0643402206603415,"acc-lambda-eta1"
0.137573135072923,0.233831546024502,0.0231984939447369,0.0393875777762508,0.0367779286586774,0.0629104951364328,"acc-lambda-eta1"
0.167955707186847,0.229657243475167,0.0445140945295807,0.044628247524158,0.0342345123632316,0.0596937935389809,"acc-lambda-eta1"
0.184615950215622,0.201712503437721,-0.0124410262232998,0.0450056894894586,0.0342087137806396,0.066182534025427,"acc-lambda-eta1"
0.136753987319585,0.161475460667522,0.138472299069,0.0500571777904465,0.0391631849302366,0.0656679155417468,"acc-lambda-eta1"
0.277534008099575,0.180911680181558,-0.0532517103449933,0.0384087227500668,0.0392028678879121,0.0610343996067503,"acc-lambda-eta1"
0.23949099446744,0.156325400796529,0.0188644815525966,0.0446017518186655,0.0356959114030541,0.0609400704959212,"acc-lambda-eta1"
0.297733706470713,0.173893437727117,-0.0733660732337998,0.0405265111490107,0.0369876585604714,0.0610687357167785,"acc-lambda-eta1"
0.176031359139953,0.206470134912613,0.0592901947482824,0.0444570700944031,0.0403551708726386,0.0626851843820186,"acc-lambda-eta1"
0.257229661041526,0.200964734083992,-0.00873559463531703,0.0434621691469096,0.0386304796483579,0.0643049421501937,"acc-lambda-eta1"
0.324334179688479,0.16261322423152,-0.077945394890954,0.046687054282842,0.0351928321909964,0.0613371895894005,"acc-lambda-eta1"
0.191803874630354,0.224455090345845,-0.0382063305281968,0.0406096717851304,0.037079078746667,0.0620088857157208,"acc-lambda-eta1"
0.205393513865604,0.191394855600597,0.020219014660584,0.0391417749380737,0.0377781171993438,0.0572624545634092,"acc-lambda-eta1"
0.151415412848773,0.154464628061012,0.0808537073871807,0.0397961589914167,0.0318918496501674,0.0617603221909345,"acc-lambda-eta1"
0.179918997446211,0.220498138981871,0.0257170005622798,0.0424274853717207,0.0379591249816034,0.0646073890695912,"acc-lambda-eta1"
0.1974707321105,0.131564137231078,0.103383033673378,0.0434957084227407,0.040908559632057,0.0606513681804044,"acc-lambda-eta1"
0.213100576457949,0.244522791957165,-0.108467134751342,0.0435505593182671,0.040707860771578,0.0632262179590351,"acc-lambda-eta1"
0.217319481946417,0.218055455087966,-0.0588267870966406,0.0440600828158311,0.0344949586820257,0.0636686911739055,"acc-lambda-eta1"
0.197762206616153,0.185456728355711,0.0917227286353814,0.0469082990282243,0.0385699610424023,0.0626404748685582,"acc-lambda-eta1"
0.217288115132274,0.213119216663737,-0.0243642631941812,0.0432702900614972,0.034947843064408,0.0660001745978485,"acc-lambda-eta1"
0.113223903355005,0.225185963479616,0.102995016364958,0.0410122946094554,0.0333639290920545,0.059454910662873,"acc-lambda-eta1"
0.177077175155307,0.167991660912179,0.0295852245657205,0.0457121030772384,0.0391695628863215,0.0653057699549167,"acc-lambda-eta1"
0.229684717271163,0.227467904183622,-0.02364123976292,0.0376428211875619,0.0365527184730751,0.0661446392363322,"acc-lambda-eta1"
0.104202518272141,0.198905698205796,0.205524089191354,0.0414446248615412,0.038548184827523,0.0626994480947077,"acc-lambda-eta1"
0.210666422800763,0.174038045319904,0.0258282083979814,0.0419425062416706,0.0335243435322992,0.0616761572069182,"acc-lambda-eta1"
0.192359048385252,0.214819036268947,0.0292017709320845,0.0459620035073628,0.0391596080134099,0.0678494189430063,"acc-lambda-eta1"
0.149049710437821,0.142664779157365,0.139780445962416,0.0446689202375544,0.03220425526789,0.067911823288161,"acc-lambda-eta1"
0.276431479020755,0.204879455209137,-0.0821873251519338,0.0426574841803558,0.027732374382509,0.0622662964253067,"acc-lambda-eta1"
0.175014789870387,0.198660924218666,0.0570972767441512,0.0472376570995699,0.0362920106626202,0.0700783759625623,"acc-lambda-eta1"
0.264274831978083,0.157839879931521,-0.0422847767046826,0.0451326991968424,0.0377256449670638,0.0690645175559121,"acc-lambda-eta1"
0.190818096903891,0.200228208343558,0.00787334519100781,0.0399883057091614,0.0313002894845992,0.0590098213588628,"acc-lambda-eta1"
0.244467648202782,0.180155947598695,0.00541772597044365,0.0375601112344946,0.0347054319391116,0.0551135741363514,"acc-lambda-eta1"
0.245230436873391,0.187953860568785,0.0459602472956059,0.0405615801948251,0.0373172643256441,0.063011351332549,"acc-lambda-eta1"
0.166922425302522,0.258231849964094,0.000895209161075689,0.0487234739186496,0.0376731820953876,0.0728932295241207,"acc-lambda-eta1"
0.134716016334068,0.204941432995251,0.032555646020618,0.0453985735297422,0.0339958870186604,0.0594713120456833,"acc-lambda-eta1"
